"Plot Title: upstream_test"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20954780, SEN S/N: 20954780)","Temp, °C (LGR S/N: 20954780, SEN S/N: 20954780)","Coupler Detached (LGR S/N: 20954780)","Coupler Attached (LGR S/N: 20954780)","Host Connected (LGR S/N: 20954780)","Stopped (LGR S/N: 20954780)","End Of File (LGR S/N: 20954780)"
245,07/21/21 01:17:50 PM,44.4,7.25,,,,,
246,07/21/21 01:18:00 PM,44.4,7.22,,,,,
247,07/21/21 01:18:10 PM,44.4,7.25,,,,,
248,07/21/21 01:18:20 PM,44.4,7.23,,,,,
249,07/21/21 01:18:30 PM,44.4,7.25,,,,,
250,07/21/21 01:18:40 PM,44.8,7.25,,,,,
251,07/21/21 01:18:50 PM,44.8,7.25,,,,,
252,07/21/21 01:19:00 PM,44.8,7.25,,,,,
253,07/21/21 01:19:10 PM,44.4,7.25,,,,,
254,07/21/21 01:19:20 PM,44.8,7.25,,,,,
255,07/21/21 01:19:30 PM,44.8,7.23,,,,,
256,07/21/21 01:19:40 PM,44.8,7.25,,,,,
257,07/21/21 01:19:50 PM,44.8,7.25,,,,,
258,07/21/21 01:20:00 PM,44.8,7.25,,,,,
259,07/21/21 01:20:10 PM,45.2,7.23,,,,,
260,07/21/21 01:20:20 PM,45.2,7.25,,,,,
261,07/21/21 01:20:30 PM,44.8,7.23,,,,,
262,07/21/21 01:20:40 PM,45.2,7.23,,,,,
263,07/21/21 01:20:50 PM,44.8,7.25,,,,,
264,07/21/21 01:21:00 PM,44.8,7.25,,,,,
265,07/21/21 01:21:10 PM,44.8,7.23,,,,,
266,07/21/21 01:21:20 PM,45.2,7.23,,,,,
267,07/21/21 01:21:30 PM,44.8,7.23,,,,,
268,07/21/21 01:21:40 PM,44.8,7.23,,,,,
269,07/21/21 01:21:50 PM,44.8,7.25,,,,,
270,07/21/21 01:22:00 PM,44.8,7.23,,,,,
271,07/21/21 01:22:10 PM,44.8,7.25,,,,,
272,07/21/21 01:22:20 PM,44.8,7.22,,,,,
273,07/21/21 01:22:30 PM,44.8,7.23,,,,,
274,07/21/21 01:22:40 PM,44.8,7.23,,,,,
275,07/21/21 01:22:50 PM,44.8,7.23,,,,,
276,07/21/21 01:23:00 PM,44.8,7.23,,,,,
277,07/21/21 01:23:10 PM,44.8,7.23,,,,,
278,07/21/21 01:23:20 PM,44.8,7.23,,,,,
279,07/21/21 01:23:30 PM,44.8,7.23,,,,,
280,07/21/21 01:23:40 PM,44.8,7.25,,,,,
281,07/21/21 01:23:50 PM,44.8,7.25,,,,,
282,07/21/21 01:24:00 PM,45.2,7.23,,,,,
283,07/21/21 01:24:10 PM,44.8,7.23,,,,,
284,07/21/21 01:24:20 PM,44.8,7.23,,,,,
285,07/21/21 01:24:30 PM,44.8,7.23,,,,,
286,07/21/21 01:24:40 PM,44.8,7.22,,,,,
287,07/21/21 01:24:50 PM,44.8,7.23,,,,,
288,07/21/21 01:25:00 PM,44.8,7.23,,,,,
289,07/21/21 01:25:10 PM,44.8,7.23,,,,,
290,07/21/21 01:25:20 PM,44.8,7.23,,,,,
291,07/21/21 01:25:30 PM,44.8,7.23,,,,,
292,07/21/21 01:25:40 PM,44.8,7.23,,,,,
293,07/21/21 01:25:50 PM,44.8,7.22,,,,,
294,07/21/21 01:26:00 PM,44.8,7.22,,,,,
295,07/21/21 01:26:10 PM,44.4,7.22,,,,,
296,07/21/21 01:26:20 PM,44.4,7.22,,,,,
297,07/21/21 01:26:30 PM,44.0,7.22,,,,,
298,07/21/21 01:26:40 PM,44.0,7.22,,,,,
299,07/21/21 01:26:50 PM,44.0,7.22,,,,,
300,07/21/21 01:27:00 PM,44.0,7.23,,,,,
301,07/21/21 01:27:10 PM,43.6,7.22,,,,,
302,07/21/21 01:27:20 PM,43.2,7.22,,,,,
303,07/21/21 01:27:30 PM,42.8,7.23,,,,,
304,07/21/21 01:27:40 PM,42.8,7.23,,,,,
305,07/21/21 01:27:50 PM,42.8,7.22,,,,,
306,07/21/21 01:28:00 PM,42.4,7.22,,,,,
307,07/21/21 01:28:10 PM,42.4,7.22,,,,,
308,07/21/21 01:28:20 PM,42.4,7.22,,,,,
309,07/21/21 01:28:30 PM,42.0,7.22,,,,,
310,07/21/21 01:28:40 PM,41.7,7.22,,,,,
311,07/21/21 01:28:50 PM,41.7,7.23,,,,,
312,07/21/21 01:29:00 PM,41.7,7.22,,,,,
313,07/21/21 01:29:10 PM,41.7,7.22,,,,,
314,07/21/21 01:29:20 PM,41.7,7.23,,,,,
315,07/21/21 01:29:30 PM,41.3,7.22,,,,,
316,07/21/21 01:29:40 PM,41.3,7.22,,,,,
317,07/21/21 01:29:50 PM,41.3,7.22,,,,,
318,07/21/21 01:30:00 PM,41.3,7.22,,,,,
319,07/21/21 01:30:10 PM,40.9,7.22,,,,,
320,07/21/21 01:30:20 PM,40.9,7.22,,,,,
321,07/21/21 01:30:30 PM,40.9,7.21,,,,,
322,07/21/21 01:30:40 PM,40.9,7.23,,,,,
323,07/21/21 01:30:50 PM,40.9,7.22,,,,,
324,07/21/21 01:31:00 PM,40.9,7.22,,,,,
325,07/21/21 01:31:10 PM,40.9,7.22,,,,,
326,07/21/21 01:31:20 PM,40.9,7.22,,,,,
327,07/21/21 01:31:30 PM,40.9,7.22,,,,,
328,07/21/21 01:31:40 PM,40.9,7.22,,,,,
329,07/21/21 01:31:50 PM,40.9,7.23,,,,,
330,07/21/21 01:32:00 PM,40.9,7.23,,,,,
331,07/21/21 01:32:10 PM,40.9,7.23,,,,,
332,07/21/21 01:32:20 PM,40.5,7.23,,,,,
333,07/21/21 01:32:30 PM,40.5,7.23,,,,,
334,07/21/21 01:32:40 PM,40.9,7.25,,,,,
335,07/21/21 01:32:50 PM,40.9,7.22,,,,,
336,07/21/21 01:33:00 PM,40.9,7.22,,,,,
337,07/21/21 01:33:10 PM,40.9,7.23,,,,,
338,07/21/21 01:33:20 PM,40.5,7.23,,,,,
339,07/21/21 01:33:30 PM,40.5,7.23,,,,,
340,07/21/21 01:33:40 PM,40.1,7.22,,,,,
341,07/21/21 01:33:50 PM,40.5,7.22,,,,,
342,07/21/21 01:34:00 PM,40.5,7.23,,,,,
343,07/21/21 01:34:10 PM,40.5,7.22,,,,,
344,07/21/21 01:34:20 PM,40.5,7.22,,,,,
345,07/21/21 01:34:30 PM,40.5,7.23,,,,,
346,07/21/21 01:34:40 PM,40.1,7.23,,,,,
347,07/21/21 01:34:50 PM,40.1,7.23,,,,,
