Serial_number:
2020421
Project ID:

Location:

Station01
UNIT: kPa
Offset: 0,000000 kPa
TEMPERATURE
UNIT: °C
Date;Time;ms;Station01;TEMPERATURE
1 ene. 2022;02:15:00;0;63,9330;9,758
1 ene. 2022;02:30:00;0;63,9238;9,758
1 ene. 2022;02:45:00;0;63,9162;9,733
1 ene. 2022;03:00:00;0;63,9052;9,717
1 ene. 2022;03:15:00;0;63,8986;9,693
1 ene. 2022;03:30:00;0;63,8847;9,654
1 ene. 2022;03:45:00;0;63,8875;9,622
1 ene. 2022;04:00:00;0;63,8909;9,608
1 ene. 2022;04:15:00;0;63,8900;9,586
1 ene. 2022;04:30:00;0;63,8996;9,594
1 ene. 2022;04:45:00;0;63,8960;9,565
1 ene. 2022;05:00:00;0;63,9040;9,508
1 ene. 2022;05:15:00;0;63,9190;9,476
1 ene. 2022;05:30:00;0;63,9250;9,460
1 ene. 2022;05:45:00;0;63,9294;9,454
1 ene. 2022;06:00:00;0;63,9351;9,449
1 ene. 2022;06:15:00;0;63,9400;9,447
1 ene. 2022;06:30:00;0;63,9557;9,442
1 ene. 2022;06:45:00;0;63,9724;9,430
1 ene. 2022;07:00:00;0;63,9881;9,419
1 ene. 2022;07:15:00;0;64,0020;9,415
1 ene. 2022;07:30:00;0;64,0177;9,413
1 ene. 2022;07:45:00;0;64,0324;9,430
1 ene. 2022;08:00:00;0;64,0466;9,466
1 ene. 2022;08:15:00;0;64,0575;9,503
1 ene. 2022;08:30:00;0;64,0677;9,534
1 ene. 2022;08:45:00;0;64,0706;9,567
1 ene. 2022;09:00:00;0;64,0821;9,599
1 ene. 2022;09:15:00;0;64,0828;9,638
1 ene. 2022;09:30:00;0;64,0828;9,682
1 ene. 2022;09:45:00;0;64,0842;9,731
1 ene. 2022;10:00:00;0;64,0787;9,785
1 ene. 2022;10:15:00;0;64,0682;9,842
1 ene. 2022;10:30:00;0;64,0779;9,903
1 ene. 2022;10:45:00;0;64,0696;9,966
1 ene. 2022;11:00:00;0;64,0692;10,024
1 ene. 2022;11:15:00;0;64,0691;10,079
