"","Lat","Lon","Date","EOS_no","Flux_ave","Tract","Point","VaisalaType","CO2_ppm_ave","GAVI_waterTempAve","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm"
"19",-78.20272,-0.3308667,2021-06-22,"EOS_1",0.25,1,8,"new",270.791833333333,8.3405,62.4655,6.748,627.1434,301.86363797338
"20",-78.20253,-0.33075,2021-06-22,"EOS_1",0.025,1,9,"new",273.8465,8.18675,62.469,6.745,627.1784,305.114253336955
"21",-78.2025,-0.3312,2021-06-22,"EOS_2",0.395,1,3,"old",949.166666666667,8.032,62.4748,6.742,627.2364,1422.12316113501
"22",-78.20243,-0.3306333,2021-06-23,"EOS_1",0.29,2,1,"old",1898.19642857143,11.34625,62.4489,6.772,626.9774,2874.54267869546
"23",-78.20242,-0.3305333,2021-06-23,"EOS_1",0.945,2,2,"old",1685.89285714286,11.0149107142857,62.4509,6.76514285714286,626.9974,2550.34515613018
"24",-78.202417,-0.3304667,2021-06-23,"EOS_1",0.65,2,3,"old",3530.66071428571,10.638,62.4522,6.761,627.0104,5334.65984959505
"25",-78.2023676,-0.330636995,2021-06-18,"EOS_1",0.45,1,14,"new",755.060625,7.745,62.447,7.825,626.9584,840.413341086856
"26",-78.202267,-0.3305,2021-06-23,"EOS_1",1.335,3,1,"old",3189.73684210526,10.3607631578947,62.4519789473684,6.75852631578947,627.008189473684,4815.36131299678
"27",-78.20225,-0.3312333,2021-06-22,"EOS_2",0.195,1,4,"old",923.666666666667,7.90075,62.4772,6.739,627.2604,1383.31117754111
"28",-78.20220206,-0.330495508,2021-06-18,"EOS_1",0.505,1,13,"new",658.354,7.80175,62.4506,7.828,626.9944,732.863610699862
"29",-78.20215,-0.3301833,2021-06-23,"EOS_1",0.68,3,2,"old",1541.94736842105,10.06775,62.4592,6.756,627.0804,2325.48905584064
"30",-78.202139,-0.331269,2021-06-23,"EOS_2",0.05,3,1,"new",998.378928571429,11.147,62.4496,6.767,626.9844,1122.50293965116
"31",-78.202139,-0.331147,2021-06-23,"EOS_2",0.855,2,10,"new",927.101607142857,11.552,62.4495,6.778,626.9834,1043.61523553517
"32",-78.202035,-0.331034,2021-06-23,"EOS_2",0.525,3,2,"new",1204.74446428571,10.8625,62.4524,6.763,627.0124,1353.33288654425
"33",-78.202,-0.33,2021-06-23,"EOS_1",1.34,3,3,"old",1601.33333333333,9.87725,62.4685,6.756,627.1734,2413.39386062896
"34",-78.20195,-0.3313,2021-06-22,"EOS_2",0.465,1,5,"old",1398.42372881356,7.66987288135593,62.4999898305085,6.7315593220339,627.488298305085,2092.3395116877
"35",-78.20195,-0.3295833,2021-06-23,"EOS_1",0.585,3,5,"old",1280.85714285714,9.3875,62.4856,6.754,627.3444,1927.11513050356
