OBJECTID,pointid,grid_code,RASTERVALU
1609,1609,4107.614746,4107.614746
1610,1610,4107.643066,4107.643066
1611,1611,4107.617188,4107.617188
1612,1612,4107.672363,4107.672363
1613,1613,4107.711914,4107.711914
1614,1614,4107.711914,4107.711914
1615,1615,4107.71875,4107.71875
1616,1616,4107.724609,4107.724609
1617,1617,4107.726074,4107.726074
1618,1618,4107.725586,4107.725586
1619,1619,4107.741699,4107.741699
1620,1620,4107.719727,4107.719727
1621,1621,4107.726563,4107.726563
1622,1622,4107.719727,4107.719727
1623,1623,4107.704102,4107.704102
1624,1624,4107.723145,4107.723145
1625,1625,4107.611328,4107.611328
1626,1626,4107.692871,4107.692871
1627,1627,4107.608398,4107.608398
1628,1628,4107.492188,4107.492188
1629,1629,4107.596191,4107.596191
1630,1630,4107.462402,4107.462402
1631,1631,4107.515137,4107.515137
1632,1632,4107.488281,4107.488281
1633,1633,4107.466309,4107.466309
1634,1634,4107.515137,4107.515137
1635,1635,4107.453613,4107.453613
1636,1636,4107.488281,4107.488281
1637,1637,4107.474609,4107.474609
1638,1638,4107.445801,4107.445801
1639,1639,4107.474609,4107.474609
1640,1640,4107.441406,4107.441406
1641,1641,4107.453125,4107.453125
1642,1642,4107.441406,4107.441406
1643,1643,4107.435059,4107.435059
1644,1644,4107.441406,4107.441406
1645,1645,4107.432129,4107.432129
1646,1646,4107.400879,4107.400879
1647,1647,4107.416504,4107.416504
1648,1648,4107.353516,4107.353516
1649,1649,4107.368652,4107.368652
1650,1650,4107.344238,4107.344238
1651,1651,4107.324707,4107.324707
1652,1652,4107.334473,4107.334473
1653,1653,4107.259766,4107.259766
1654,1654,4107.313477,4107.313477
1655,1655,4107.252441,4107.252441
1656,1656,4107.246582,4107.246582
1657,1657,4107.25,4107.25
1658,1658,4107.216797,4107.216797
1659,1659,4107.234375,4107.234375
1660,1660,4107.163574,4107.163574
1661,1661,4107.104492,4107.104492
1662,1662,4107.10791,4107.10791
1663,1663,4107.089355,4107.089355
1664,1664,4107.095703,4107.095703
1665,1665,4107.095703,4107.095703
1666,1666,4107.129883,4107.129883
1667,1667,4107.120605,4107.120605
1668,1668,4107.172363,4107.172363
1669,1669,4107.217773,4107.217773
1670,1670,4107.222656,4107.222656
1671,1671,4107.275879,4107.275879
1672,1672,4107.275879,4107.275879
1673,1673,4107.299316,4107.299316
1674,1674,4107.319824,4107.319824
1675,1675,4107.35791,4107.35791
1676,1676,4107.362793,4107.362793
1677,1677,4107.365234,4107.365234
1678,1678,4107.362793,4107.362793
1679,1679,4107.366211,4107.366211
1680,1680,4107.365234,4107.365234
1681,1681,4107.051758,4107.051758
1682,1682,4107.362793,4107.362793
1683,1683,4106.749512,4106.749512
1684,1684,4106.887207,4106.887207
1685,1685,4106.725098,4106.725098
1686,1686,4106.725098,4106.725098
1687,1687,4106.725098,4106.725098
1688,1688,4106.678223,4106.678223
1689,1689,4106.578125,4106.578125
1690,1690,4106.654297,4106.654297
1691,1691,4106.543457,4106.543457
1692,1692,4106.567871,4106.567871
1693,1693,4106.529297,4106.529297
1694,1694,4106.49707,4106.49707
1695,1695,4106.506836,4106.506836
1696,1696,4106.491211,4106.491211
1697,1697,4106.494629,4106.494629
1698,1698,4106.489746,4106.489746
1699,1699,4106.476563,4106.476563
1700,1700,4106.474609,4106.474609
1701,1701,4106.472168,4106.472168
1702,1702,4106.466797,4106.466797
1703,1703,4106.464844,4106.464844
1704,1704,4106.44873,4106.44873
1705,1705,4106.427734,4106.427734
1706,1706,4106.424805,4106.424805
1707,1707,4106.407227,4106.407227
1708,1708,4106.407227,4106.407227
1709,1709,4106.39502,4106.39502
1710,1710,4106.369141,4106.369141
1711,1711,4106.38623,4106.38623
1712,1712,4106.356934,4106.356934
1713,1713,4106.341309,4106.341309
1714,1714,4106.36377,4106.36377
1715,1715,4106.325684,4106.325684
1716,1716,4106.4375,4106.4375
1717,1717,4106.327148,4106.327148
1718,1718,4106.41748,4106.41748
1719,1719,4106.453125,4106.453125
1720,1720,4106.319824,4106.319824
1721,1721,4106.485352,4106.485352
1722,1722,4106.36377,4106.36377
1723,1723,4106.36377,4106.36377
1724,1724,4106.319824,4106.319824
1725,1725,4106.257813,4106.257813
1726,1726,4106.179688,4106.179688
1727,1727,4106.191406,4106.191406
1728,1728,4106.157227,4106.157227
1729,1729,4106.157227,4106.157227
1730,1730,4105.889648,4105.889648
1731,1731,4106.157227,4106.157227
1732,1732,4105.876953,4105.876953
1733,1733,4105.876953,4105.876953
1734,1734,4105.876953,4105.876953
1735,1735,4105.864746,4105.864746
1736,1736,4105.876953,4105.876953
1737,1737,4105.820801,4105.820801
1738,1738,4105.876953,4105.876953
1739,1739,4105.798828,4105.798828
1740,1740,4105.849121,4105.849121
1741,1741,4105.794434,4105.794434
1742,1742,4105.821289,4105.821289
1743,1743,4105.852051,4105.852051
1744,1744,4105.849121,4105.849121
1745,1745,4105.878418,4105.878418
1746,1746,4105.871582,4105.871582
1747,1747,4105.929199,4105.929199
1748,1748,4105.958984,4105.958984
1749,1749,4105.945313,4105.945313
1750,1750,4105.969238,4105.969238
1751,1751,4105.958984,4105.958984
1752,1752,4105.97168,4105.97168
1753,1753,4105.968262,4105.968262
1754,1754,4105.974609,4105.974609
1755,1755,4105.969238,4105.969238
1756,1756,4105.974609,4105.974609
1757,1757,4105.974609,4105.974609
1758,1758,4105.974609,4105.974609
1759,1759,4105.974609,4105.974609
1760,1760,4105.974609,4105.974609
1761,1761,4105.974609,4105.974609
1762,1762,4105.850586,4105.850586
1763,1763,4105.753418,4105.753418
1764,1764,4105.782715,4105.782715
1765,1765,4105.597168,4105.597168
1766,1766,4105.678711,4105.678711
1767,1767,4105.564453,4105.564453
1768,1768,4105.564453,4105.564453
1769,1769,4105.506836,4105.506836
1770,1770,4105.515625,4105.515625
1771,1771,4105.450195,4105.450195
1772,1772,4105.450195,4105.450195
1773,1773,4105.375,4105.375
1774,1774,4105.374023,4105.374023
1775,1775,4105.325195,4105.325195
1776,1776,4105.316895,4105.316895
1777,1777,4105.292969,4105.292969
1778,1778,4105.349609,4105.349609
1779,1779,4105.277832,4105.277832
1780,1780,4105.349609,4105.349609
1781,1781,4105.304688,4105.304688
1782,1782,4105.375,4105.375
1783,1783,4105.349609,4105.349609
1784,1784,4105.420898,4105.420898
1785,1785,4105.370605,4105.370605
1786,1786,4105.460449,4105.460449
1787,1787,4105.420898,4105.420898
1788,1788,4105.478027,4105.478027
