lat_fit,lon_fit,ele_fit,x_pred,date,x,d,w,Flux_ave,adjusted_ppm,DOC,TDN,WaterTemp_c,BaroPress_kpa,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,ele_arcpro,dist_diff,slope,Q_m3s
-0.330370993,-78.20207503,4077.771371,320.3661352,,329,8,61,NA,NA,NA,NA,,,,,,,,4068.697266,20,0.033435059,
-0.330423993,-78.20215349,4077.772091,330.9164456,,339,9,53,NA,NA,NA,NA,,,,,,,,4068.356445,20,0.03392334,
-0.330469993,-78.20221952,4077.46267,339.9298138,6/18/21,,,,0.505,1485.95789,NA,NA,7.67625,62.4765,7.817,627.2534,new,EOS1,,,,,
-0.330476993,-78.20222938,4077.384437,341.304291,,349,18,61,NA,NA,NA,NA,,,,,,,,4068.018799,20,0.033166504,
-0.330487993,-78.20224477,4077.247205,343.3818601,,351,21,60,NA,NA,NA,NA,,,,,,,syn,4067.999512,,,
-0.330492993,-78.20225173,4077.179808,344.4206446,,352,NA,NA,NA,NA,NA,NA,,,,,,,,4067.999512,,,
-0.330531993,-78.20230504,4076.582276,351.6921363,,359,87,48,NA,NA,NA,NA,,,,,,,,4067.693115,20,0.029101563,
-0.330566993,-78.2023515,4076.010167,358.1396855,,365,NA,NA,NA,NA,NA,NA,,,,,,,"log jam, moving slowly and deep",4067.560791,,,
-0.330589993,-78.20238132,4075.658082,362.356207,,369,19,56,NA,NA,NA,NA,,,,,,,syn,4067.436768,18,0.021104601,
-0.330600993,-78.2023954,4075.504127,364.3446006,6/18/21,,,,0.45,1715.493786,2.643,0.1286,7.5945,62.4894,7.816,627.3824,new,EOS1,,,,,
-0.330618993,-78.20241817,4075.257726,367.6268589,,374,NA,NA,NA,NA,NA,NA,,,,,,,"this is where it is less incized, bank < 1M",4067.313232,,,
-0.330636993,-78.20244064,4075.018839,370.7892501,,377,15,36,NA,NA,NA,NA,,,,,,,,4067.313232,20,0.023901367,
-0.330642993,-78.20244807,4074.943232,371.8433805,,378,NA,NA,NA,NA,NA,NA,,,,,,,underground,4067.199463,,,
-0.330648993,-78.20245546,4074.868235,372.8975109,,379,NA,NA,NA,NA,NA,NA,,,,,,,underground,4067.199463,,,
-0.330654993,-78.20246283,4074.793802,373.9516412,,380,NA,NA,NA,NA,NA,NA,,,,,,,"little trib, river rt",4067.199463,,,
-0.330700993,-78.20251839,4074.237077,382.0288192,,389,NA,NA,NA,NA,NA,NA,,,,,,,underground,4066.95874,,,
-0.330700993,-78.20251839,4074.237077,382.0288192,,389,9,53,NA,NA,NA,NA,,,,,,,,4066.95874,22,0.029552113,
-0.330723993,-78.20254567,4073.96395,385.9633416,,393,17,48,NA,NA,NA,NA,,,,,,,syn,4066.817871,,,
-0.330726993,-78.20254921,4073.928397,386.4796909,6/22/21,,,,0.025,605.5983241,NA,NA,7.6175,62.5096,6.728,627.5844,new,EOS1,,,,,
-0.330757993,-78.20258555,4073.560077,391.8651253,,399,23,56,NA,NA,NA,NA,,,,,,,,4066.663086,20,0.03458252,
-0.330812993,-78.20264944,4072.888972,401.1667942,,409,23,50,NA,NA,NA,NA,,,,,,,,4066.26709,20,0.070361328,
-0.330862993,-78.20270759,4072.236341,409.7187362,,418,10,59,NA,NA,NA,NA,,,,,,,syn?,4065.610596,,,
-0.330870993,-78.20271695,4072.126423,411.0894387,6/22/21,,,,0.25,605.5399379,NA,NA,7.7205,62.4907,6.735,627.3954,new,EOS1,,,,,
-0.330887993,-78.20273692,4071.886712,414.009053,,419,16,41,NA,NA,NA,NA,,,,,,,syn,4065.255859,20,-0.039306641,
-0.330960993,-78.20282446,4070.651989,426.6485557,,432,NA,NA,NA,NA,NA,NA,,,,,,,steep slope,4064.042236,,,
-0.330998993,-78.20287152,4069.905616,433.4544418,,439,15,49,NA,NA,NA,NA,,,,,,,,4063.645996,20,0.211047363,
-0.331009993,-78.20288536,4069.687182,435.3989807,6/22/21,,,,1.315,583.1253581,NA,NA,7.90075,62.4772,6.739,627.2604,new,EOS1,,,,,
-0.331009993,-78.20288536,4069.687182,435.3989807,,441,NA,NA,1.315,583.1253581,NA,NA,,,,,,,syn ?,4063.283447,,,
-0.331049993,-78.20293659,4068.917687,442.5583488,,449,9,50,NA,NA,NA,NA,,,,,,,,4062.832275,20,0.06887207,
-0.331059993,-78.20294961,4068.737487,444.4613328,6/22/21,,,,0.26,577.62168,NA,NA,8.18675,62.469,6.745,627.1784,new,EOS1,,,,,
-0.331061993,-78.20295222,4068.702291,444.7956514,,451.5,NA,NA,NA,NA,NA,NA,,,,,,,waterfall 1 m high,4062.832275,,,
-0.331073993,-78.20296798,4068.497904,447.0329539,,454,17,83,NA,NA,NA,NA,,,,,,,stn4,4062.539063,,,
-0.331097993,-78.20299987,4068.076577,451.507559,,459,6,76,NA,NA,NA,NA,,,,,,,,4062.268555,20,0.075073242,
-0.331118993,-78.20302814,4067.680983,455.4229024,,460,NA,NA,NA,NA,NA,NA,,,,,,,,4062.004883,,,
-0.331126993,-78.203039,4067.527921,456.9122205,,429,NA,NA,NA,NA,NA,NA,,,,,,,steep slope,4062.004883,,,
-0.331126993,-78.203039,4067.527921,456.9122205,,429,14,53,NA,NA,NA,NA,,,,,,,,4067.053223,20,0.080493164,
-0.331153993,-78.20307599,4067.020891,461.9950288,,464.7,30,41,NA,NA,NA,NA,,,,,,,syn 4,4061.734863,,,0.06100853
-0.331159993,-78.20308427,4066.913253,463.1136886,,465.5,17,83,NA,NA,NA,NA,,,,,,,,4061.460449,,,
-0.331160993,-78.20308565,4066.895582,463.2535211,,465.6,NA,NA,NA,NA,NA,NA,,,,,,,"tributary river left w: 40, d:1.5",4061.460449,,,
