lat_fit,lon_fit,ele_fit,x_pred,ele_arcpro,x,d,w,date,Flux_ave,adjusted_ppm,DOC,TDN,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,dist_diff_middle,ele_diff_mid,slope_mid,dist_diff_up,ele_diff_mid,slope_up,Q_m_s,WaterTemp_c,cathment_pixel,catchment_ha
-0.348342411,-78.19953675,3897.496615,1172.60181,3898.608398,1270,78,40,,NA,NA,,,,,,,,,,,,,,,,215900,194.31
-0.348421411,-78.19946801,3897.364042,1184.256868,3898.608398,1280,43,80,,NA,NA,,,,,,,,,,,,,,,,216077,194.4693
-0.348518411,-78.19943424,3897.223679,1195.911927,3898.608398,1290,51,93,,NA,NA,,,,,,,,,,,,,,,,216303,194.6727
-0.348622411,-78.19942364,3897.0049,1207.566985,3898.608398,1300,52,90,,NA,NA,,,,,,,,,,,,,,,,216469,194.8221
-0.348640411,-78.19941687,3896.952321,1209.708346,3898.608398,1302,NA,NA,,NA,NA,,,,,,,Station 6,,,,,,,0.07422,,232135,208.9215
-0.348664411,-78.19940543,3896.877369,1212.613511,3898.608398,1305,NA,NA,,NA,NA,,,,,,,"Less turbulence, slower",,,,,,,,,233027,209.7243
-0.348702411,-78.19938449,3896.748765,1217.455452,3898.608398,1310,25,125,,NA,NA,,,,,,,,,,,,,,,,233535,210.1815
-0.348777411,-78.19934234,3896.46595,1227.139335,3898.608398,1320,120,250,44383,2.675,958.5380473,,,6.855,626.7694,new,EOS_1,,19.367766,0,0,19.57235,0,0,,,233618,210.2562
-0.348843411,-78.19928578,3896.133152,1236.823218,3898.608398,1330,35,145,,NA,NA,,,,,,,,,,,,,,,,233699,210.3291
-0.348858411,-78.19927049,3896.042958,1239.162201,3898.608398,,,,44383,1.345,1022.632975,,,6.855,626.7694,old,EOS_2,,19.367765,0,0,21.706749,0,0,0.07422,7.179,233741,210.3669
-0.348910411,-78.19923121,3895.746482,1246.5071,3898.608398,1340,62,93,,NA,NA,,,,,,,,,,,,,,,,233744,210.3696
-0.348994411,-78.19921671,3895.306475,1256.190983,3898.608398,1350,58,105,,NA,NA,,,,,,,Stream with intermittent waterfalls 20 cm high,,,,,,,,,233753,210.3777
