lat_fit,lon_fit,ele_fit,x_pred,x,d,w,date,Flux_ave,adjusted_ppm,DOC,TDN,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,ele_arcpro,dist_diff,slope,Q_m_s
-0.348421411,-78.19946801,3897.364042,1184.256868,1280,43,80,,NA,NA,,,,,,,,3898.608398,20,0.013646776,
-0.348518411,-78.19943424,3897.223679,1195.911927,1290,51,93,,NA,NA,,,,,,,,3898.608398,20,0.017957126,
-0.348622411,-78.19942364,3897.0049,1207.566985,1300,52,90,,NA,NA,,,,,,,,3898.608398,20,0.023745689,
-0.348640411,-78.19941687,3896.952321,1209.708346,1302,NA,NA,,NA,NA,,,,,,,Station 6,3898.608398,,,0.07422
-0.348664411,-78.19940543,3896.877369,1212.613511,1305,NA,NA,,NA,NA,,,,,,,"Less turbulence, slower",3898.608398,,,
-0.348702411,-78.19938449,3896.748765,1217.455452,1310,25,125,,NA,NA,,,,,,,,3898.608398,20,0.026947478,
-0.348777411,-78.19934234,3896.46595,1227.139335,1320,120,250,,NA,NA,,,,,,,,3898.608398,20,0.030780663,
-0.348784411,-78.19933771,3896.436093,1228.012053,,,,44383,2.675,958.5380473,,,6.855,626.7694,new,EOS_1,,,,,
-0.348843411,-78.19928578,3896.133152,1236.823218,1330,35,145,,NA,NA,,,,,,,,3898.608398,20,0.035973425,
-0.348858411,-78.19927049,3896.042958,1239.162201,,,,44383,1.345,1022.632975,,,6.855,626.7694,old,EOS_2,,,,,
-0.348910411,-78.19923121,3895.746482,1246.5071,1340,62,93,,NA,NA,,,,,,,,3898.608398,20,0.041333855,
-0.348994411,-78.19921671,3895.306475,1256.190983,1350,58,105,,NA,NA,,,,,,,Stream with intermittent waterfalls 20 cm high,3898.608398,,,0.07422
