Serial_number:
2020435
Project ID:

Location:
BelowLake_Downstream
BelowLake_Downstream
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,BelowLake_Downstream,TEMPERATURE
8/22/2021,09:30:00 am,0,62.9749,4.675
8/22/2021,09:45:00 am,0,62.9822,4.761
8/22/2021,10:00:00 am,0,62.9949,4.831
8/22/2021,10:15:00 am,0,63.0059,4.894
8/22/2021,10:30:00 am,0,62.9999,4.952
8/22/2021,10:45:00 am,0,63.0166,5.000
8/22/2021,11:00:00 am,0,63.0110,5.078
8/22/2021,11:15:00 am,0,63.0103,5.182
8/22/2021,11:30:00 am,0,63.0087,5.271
8/22/2021,11:45:00 am,0,63.0186,5.367
8/22/2021,12:00:00 pm,0,63.0137,5.443
8/22/2021,12:15:00 pm,0,63.0191,5.506
8/22/2021,12:30:00 pm,0,63.0173,5.584
8/22/2021,12:45:00 pm,0,63.0150,5.648
8/22/2021,01:00:00 pm,0,63.0039,5.689
8/22/2021,01:15:00 pm,0,62.9979,5.723
8/22/2021,01:30:00 pm,0,62.9856,5.758
8/22/2021,01:45:00 pm,0,62.9775,5.791
8/22/2021,02:00:00 pm,0,62.9727,5.811
8/22/2021,02:15:00 pm,0,62.9697,5.817
8/22/2021,02:30:00 pm,0,62.9723,5.871
8/22/2021,02:45:00 pm,0,62.9695,5.923
8/22/2021,03:00:00 pm,0,62.9745,5.925
8/22/2021,03:15:00 pm,0,62.9834,5.909
8/22/2021,03:30:00 pm,0,62.9893,5.892
8/22/2021,03:45:00 pm,0,62.9875,5.889
8/22/2021,04:00:00 pm,0,62.9860,5.882
8/22/2021,04:15:00 pm,0,62.9905,5.886
8/22/2021,04:30:00 pm,0,62.9890,5.894
8/22/2021,04:45:00 pm,0,62.9931,5.899
8/22/2021,05:00:00 pm,0,62.9998,5.915
8/22/2021,05:15:00 pm,0,62.9882,5.913
8/22/2021,05:30:00 pm,0,62.9813,5.898
8/22/2021,05:45:00 pm,0,62.9848,5.883
8/22/2021,06:00:00 pm,0,62.9731,5.850
8/22/2021,06:15:00 pm,0,62.9630,5.804
8/22/2021,06:30:00 pm,0,62.9502,5.744
8/22/2021,06:45:00 pm,0,62.9482,5.677
8/22/2021,07:00:00 pm,0,62.9431,5.610
8/22/2021,07:15:00 pm,0,62.9404,5.544
8/22/2021,07:30:00 pm,0,62.9439,5.478
8/22/2021,07:45:00 pm,0,62.9388,5.408
8/22/2021,08:00:00 pm,0,62.9398,5.341
8/22/2021,08:15:00 pm,0,62.9586,5.277
8/22/2021,08:30:00 pm,0,62.9658,5.216
8/22/2021,08:45:00 pm,0,62.9911,5.163
8/22/2021,09:00:00 pm,0,62.9947,5.113
8/22/2021,09:15:00 pm,0,63.0109,5.070
8/22/2021,09:30:00 pm,0,63.0252,5.035
8/22/2021,09:45:00 pm,0,63.0264,5.007
8/22/2021,10:00:00 pm,0,63.0339,4.978
8/22/2021,10:15:00 pm,0,63.0393,4.953
8/22/2021,10:30:00 pm,0,63.0361,4.932
8/22/2021,10:45:00 pm,0,63.0343,4.918
8/22/2021,11:00:00 pm,0,63.0347,4.902
8/22/2021,11:15:00 pm,0,63.0250,4.885
8/22/2021,11:30:00 pm,0,63.0115,4.866
8/22/2021,11:45:00 pm,0,63.0020,4.848
8/23/2021,12:00:00 am,0,63.0009,4.830
8/23/2021,12:15:00 am,0,62.9941,4.812
8/23/2021,12:30:00 am,0,62.9840,4.794
8/23/2021,12:45:00 am,0,62.9759,4.766
8/23/2021,01:00:00 am,0,62.9547,4.731
8/23/2021,01:15:00 am,0,62.9395,4.695
8/23/2021,01:30:00 am,0,62.9200,4.662
8/23/2021,01:45:00 am,0,62.9094,4.618
8/23/2021,02:00:00 am,0,62.8896,4.586
8/23/2021,02:15:00 am,0,62.8775,4.553
8/23/2021,02:30:00 am,0,62.8638,4.515
8/23/2021,02:45:00 am,0,62.8533,4.474
8/23/2021,03:00:00 am,0,62.8413,4.440
8/23/2021,03:15:00 am,0,62.8327,4.403
8/23/2021,03:30:00 am,0,62.8213,4.363
8/23/2021,03:45:00 am,0,62.8106,4.327
8/23/2021,04:00:00 am,0,62.8089,4.306
8/23/2021,04:15:00 am,0,62.8089,4.295
8/23/2021,04:30:00 am,0,62.8120,4.280
8/23/2021,04:45:00 am,0,62.8077,4.262
8/23/2021,05:00:00 am,0,62.8074,4.231
8/23/2021,05:15:00 am,0,62.8067,4.204
8/23/2021,05:30:00 am,0,62.8149,4.177
8/23/2021,05:45:00 am,0,62.8199,4.141
8/23/2021,06:00:00 am,0,62.8155,4.108
8/23/2021,06:15:00 am,0,62.8231,4.068
8/23/2021,06:30:00 am,0,62.8311,4.017
8/23/2021,06:45:00 am,0,62.8410,3.963
8/23/2021,07:00:00 am,0,62.8444,3.908
8/23/2021,07:15:00 am,0,62.8484,3.863
8/23/2021,07:30:00 am,0,62.8607,3.826
8/23/2021,07:45:00 am,0,62.8733,3.815
8/23/2021,08:00:00 am,0,62.8993,3.832
8/23/2021,08:15:00 am,0,62.9154,3.881
8/23/2021,08:30:00 am,0,62.9351,3.958
8/23/2021,08:45:00 am,0,62.9480,4.026
8/23/2021,09:00:00 am,0,62.9586,4.121
8/23/2021,09:15:00 am,0,62.9867,4.258
8/23/2021,09:30:00 am,0,62.9974,4.406
8/23/2021,09:45:00 am,0,63.0174,4.570
8/23/2021,10:00:00 am,0,63.0345,4.767
8/23/2021,10:15:00 am,0,63.0508,5.003
8/23/2021,10:30:00 am,0,63.0779,5.223
8/23/2021,10:45:00 am,0,63.0968,5.374
8/23/2021,11:00:00 am,0,63.1011,5.493
8/23/2021,11:15:00 am,0,63.0975,5.582
8/23/2021,11:30:00 am,0,63.0983,5.677
8/23/2021,11:45:00 am,0,63.0984,5.752
8/23/2021,12:00:00 pm,0,63.0962,5.811
8/23/2021,12:15:00 pm,0,63.0789,5.855
8/23/2021,12:30:00 pm,0,63.0597,5.915
8/23/2021,12:45:00 pm,0,63.0611,6.032
8/23/2021,01:00:00 pm,0,63.0600,6.085
8/23/2021,01:15:00 pm,0,63.0604,6.098
8/23/2021,01:30:00 pm,0,63.0587,6.120
8/23/2021,01:45:00 pm,0,63.0548,6.134
8/23/2021,02:00:00 pm,0,63.0485,6.171
8/23/2021,02:15:00 pm,0,63.0521,6.258
8/23/2021,02:30:00 pm,0,63.0475,6.341
8/23/2021,02:45:00 pm,0,63.0494,6.392
8/23/2021,03:00:00 pm,0,63.0419,6.439
8/23/2021,03:15:00 pm,0,63.0369,6.516
8/23/2021,03:30:00 pm,0,62.9650,6.600
8/23/2021,03:45:00 pm,0,62.9555,6.640
8/23/2021,04:00:00 pm,0,62.9564,6.659
8/23/2021,04:15:00 pm,0,62.9590,6.651
8/23/2021,04:30:00 pm,0,62.9617,6.627
8/23/2021,04:45:00 pm,0,62.9628,6.609
8/23/2021,05:00:00 pm,0,62.9698,6.584
8/23/2021,05:15:00 pm,0,62.9742,6.533
8/23/2021,05:30:00 pm,0,62.9865,6.464
8/23/2021,05:45:00 pm,0,63.0072,6.399
8/23/2021,06:00:00 pm,0,63.0127,6.333
8/23/2021,06:15:00 pm,0,63.0177,6.260
8/23/2021,06:30:00 pm,0,63.0198,6.180
8/23/2021,06:45:00 pm,0,63.0302,6.094
8/23/2021,07:00:00 pm,0,63.0309,6.001
8/23/2021,07:15:00 pm,0,63.0352,5.897
8/23/2021,07:30:00 pm,0,63.0422,5.789
8/23/2021,07:45:00 pm,0,63.0508,5.683
8/23/2021,08:00:00 pm,0,63.0634,5.578
8/23/2021,08:15:00 pm,0,63.0706,5.474
8/23/2021,08:30:00 pm,0,63.0757,5.368
8/23/2021,08:45:00 pm,0,63.0695,5.268
8/23/2021,09:00:00 pm,0,63.0728,5.177
8/23/2021,09:15:00 pm,0,63.0773,5.102
8/23/2021,09:30:00 pm,0,63.0838,5.045
8/23/2021,09:45:00 pm,0,63.0836,4.984
8/23/2021,10:00:00 pm,0,63.0940,4.930
8/23/2021,10:15:00 pm,0,63.1011,4.899
8/23/2021,10:30:00 pm,0,63.1021,4.878
8/23/2021,10:45:00 pm,0,63.0960,4.858
8/23/2021,11:00:00 pm,0,63.0873,4.834
8/23/2021,11:15:00 pm,0,63.0795,4.814
8/23/2021,11:30:00 pm,0,63.0611,4.801
8/23/2021,11:45:00 pm,0,63.0516,4.791
8/24/2021,12:00:00 am,0,63.0384,4.777
8/24/2021,12:15:00 am,0,63.0333,4.743
8/24/2021,12:30:00 am,0,63.0176,4.698
8/24/2021,12:45:00 am,0,63.0121,4.654
8/24/2021,01:00:00 am,0,62.9920,4.608
8/24/2021,01:15:00 am,0,62.9804,4.568
8/24/2021,01:30:00 am,0,62.9658,4.528
8/24/2021,01:45:00 am,0,62.9495,4.488
8/24/2021,02:00:00 am,0,62.9289,4.442
8/24/2021,02:15:00 am,0,62.9098,4.393
8/24/2021,02:30:00 am,0,62.8928,4.339
8/24/2021,02:45:00 am,0,62.8745,4.285
8/24/2021,03:00:00 am,0,62.8684,4.228
8/24/2021,03:15:00 am,0,62.8631,4.171
8/24/2021,03:30:00 am,0,62.8503,4.122
8/24/2021,03:45:00 am,0,62.8348,4.076
8/24/2021,04:00:00 am,0,62.8360,4.037
8/24/2021,04:15:00 am,0,62.8272,4.001
8/24/2021,04:30:00 am,0,62.8240,3.975
8/24/2021,04:45:00 am,0,62.8242,3.955
8/24/2021,05:00:00 am,0,62.8307,3.941
8/24/2021,05:15:00 am,0,62.8309,3.920
8/24/2021,05:30:00 am,0,62.8335,3.898
8/24/2021,05:45:00 am,0,62.8305,3.872
8/24/2021,06:00:00 am,0,62.8388,3.842
8/24/2021,06:15:00 am,0,62.8521,3.816
8/24/2021,06:30:00 am,0,62.8658,3.793
8/24/2021,06:45:00 am,0,62.8729,3.759
8/24/2021,07:00:00 am,0,62.8765,3.707
8/24/2021,07:15:00 am,0,62.8807,3.657
8/24/2021,07:30:00 am,0,62.8960,3.627
8/24/2021,07:45:00 am,0,62.9059,3.627
8/24/2021,08:00:00 am,0,62.9210,3.653
8/24/2021,08:15:00 am,0,62.9398,3.717
8/24/2021,08:30:00 am,0,62.9593,3.822
8/24/2021,08:45:00 am,0,62.9882,3.978
8/24/2021,09:00:00 am,0,63.0182,4.190
8/24/2021,09:15:00 am,0,63.0462,4.440
8/24/2021,09:30:00 am,0,63.0705,4.721
8/24/2021,09:45:00 am,0,63.0986,5.078
8/24/2021,10:00:00 am,0,63.1229,5.412
8/24/2021,10:15:00 am,0,63.1419,5.720
8/24/2021,10:30:00 am,0,63.1474,5.976
8/24/2021,10:45:00 am,0,63.1621,6.245
8/24/2021,11:00:00 am,0,63.0944,6.577
8/24/2021,11:15:00 am,0,63.1259,6.867
8/24/2021,11:30:00 am,0,63.1370,7.083
8/24/2021,11:45:00 am,0,63.1459,7.300
8/24/2021,12:00:00 pm,0,63.1457,7.481
8/24/2021,12:15:00 pm,0,63.1308,7.614
8/24/2021,12:30:00 pm,0,63.1213,7.756
8/24/2021,12:45:00 pm,0,63.1209,7.887
8/24/2021,01:00:00 pm,0,63.0265,8.004
8/24/2021,01:15:00 pm,0,63.0195,8.091
8/24/2021,01:30:00 pm,0,63.0173,8.141
8/24/2021,01:45:00 pm,0,63.0124,8.198
8/24/2021,02:00:00 pm,0,63.0063,8.323
8/24/2021,02:15:00 pm,0,63.0085,8.365
8/24/2021,02:30:00 pm,0,62.9933,8.354
8/24/2021,02:45:00 pm,0,62.9835,8.444
8/24/2021,03:00:00 pm,0,62.9832,8.547
8/24/2021,03:15:00 pm,0,62.9763,8.569
8/24/2021,03:30:00 pm,0,62.9520,8.547
8/24/2021,03:45:00 pm,0,62.9369,8.490
8/24/2021,04:00:00 pm,0,62.9248,8.434
8/24/2021,04:15:00 pm,0,62.9232,8.365
8/24/2021,04:30:00 pm,0,62.9193,8.311
8/24/2021,04:45:00 pm,0,62.9171,8.236
8/24/2021,05:00:00 pm,0,62.9182,8.138
8/24/2021,05:15:00 pm,0,62.9074,8.038
8/24/2021,05:30:00 pm,0,62.8986,7.948
8/24/2021,05:45:00 pm,0,62.8888,7.841
8/24/2021,06:00:00 pm,0,62.8785,7.718
8/24/2021,06:15:00 pm,0,62.8728,7.588
8/24/2021,06:30:00 pm,0,62.8721,7.444
8/24/2021,06:45:00 pm,0,62.8790,7.316
8/24/2021,07:00:00 pm,0,62.8905,7.212
8/24/2021,07:15:00 pm,0,62.8953,7.119
8/24/2021,07:30:00 pm,0,62.9000,7.025
8/24/2021,07:45:00 pm,0,62.9004,6.922
