Device Name:,,OM-CP-VOLT101A,,,,,,
Device Description:,,Voltage Data Logger,,,,,,
Serial Number:,,R37297,,,,,,
Device ID:,,SynopticOld,,,,,,
,,,,,,,,
,,Channel 1,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,X,Y,WaterSample
6/29/2021,9:45:29 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:45:34 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:45:39 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:45:44 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:45:49 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:45:54 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:45:59 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:46:04 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:46:09 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:46:14 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:46:19 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:46:24 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:46:29 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:46:34 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:46:39 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:46:44 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:46:49 AM,396,NA,NA,NA,NA,NA,NA
6/29/2021,9:46:54 AM,396,NA,NA,NA,NA,NA,NA
6/29/2021,9:46:59 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:47:04 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:47:09 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:47:14 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:47:19 AM,396,NA,NA,NA,NA,NA,NA
6/29/2021,9:47:24 AM,406,NA,NA,NA,NA,NA,NA
6/29/2021,9:47:29 AM,416,NA,NA,NA,NA,NA,NA
6/29/2021,9:47:34 AM,416,NA,NA,NA,NA,NA,NA
6/29/2021,9:47:39 AM,421,NA,NA,NA,NA,NA,NA
6/29/2021,9:47:44 AM,416,NA,NA,NA,NA,NA,NA
6/29/2021,9:47:49 AM,421,NA,NA,NA,NA,NA,NA
6/29/2021,9:47:54 AM,411,NA,NA,NA,NA,NA,NA
6/29/2021,9:47:59 AM,416,NA,NA,NA,NA,NA,NA
6/29/2021,9:48:04 AM,421,NA,NA,NA,NA,NA,NA
6/29/2021,9:48:09 AM,426,NA,NA,NA,NA,NA,NA
6/29/2021,9:48:14 AM,416,NA,NA,NA,NA,NA,NA
6/29/2021,9:48:19 AM,406,NA,NA,NA,NA,NA,NA
6/29/2021,9:48:24 AM,401,NA,NA,NA,NA,NA,NA
6/29/2021,9:48:29 AM,401,NA,NA,NA,NA,NA,NA
6/29/2021,9:48:34 AM,396,NA,NA,NA,NA,NA,NA
6/29/2021,9:48:39 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:48:44 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:48:49 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:48:54 AM,366,NA,NA,NA,NA,NA,NA
6/29/2021,9:48:59 AM,366,NA,NA,NA,NA,NA,NA
6/29/2021,9:49:04 AM,366,NA,NA,NA,NA,NA,NA
6/29/2021,9:49:09 AM,366,NA,NA,NA,NA,NA,NA
6/29/2021,9:49:14 AM,366,NA,NA,NA,NA,NA,NA
6/29/2021,9:49:19 AM,366,NA,NA,NA,NA,NA,NA
6/29/2021,9:49:24 AM,366,NA,NA,NA,NA,NA,NA
6/29/2021,9:49:29 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:49:34 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:49:39 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:49:44 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:49:49 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:49:54 AM,366,NA,NA,NA,NA,NA,NA
6/29/2021,9:49:59 AM,361,NA,NA,NA,NA,NA,NA
6/29/2021,9:50:04 AM,361,NA,NA,NA,NA,NA,NA
6/29/2021,9:50:09 AM,361,NA,NA,NA,NA,NA,NA
6/29/2021,9:50:14 AM,356,NA,NA,NA,NA,NA,NA
6/29/2021,9:50:19 AM,361,NA,NA,NA,NA,NA,NA
6/29/2021,9:50:24 AM,371,NA,NA,NA,NA,NA,NA
6/29/2021,9:50:29 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:50:34 AM,396,NA,NA,NA,NA,NA,NA
6/29/2021,9:50:39 AM,406,NA,NA,NA,NA,NA,NA
6/29/2021,9:50:44 AM,401,NA,NA,NA,NA,NA,NA
6/29/2021,9:50:49 AM,401,NA,NA,NA,NA,NA,NA
6/29/2021,9:50:54 AM,401,NA,NA,NA,NA,NA,NA
6/29/2021,9:50:59 AM,401,NA,NA,NA,NA,NA,NA
6/29/2021,9:51:04 AM,401,NA,NA,NA,NA,NA,NA
6/29/2021,9:51:09 AM,401,NA,NA,NA,NA,NA,NA
6/29/2021,9:51:14 AM,401,NA,NA,NA,NA,NA,NA
6/29/2021,9:51:19 AM,401,NA,NA,NA,NA,NA,NA
6/29/2021,9:51:24 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:51:29 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:51:34 AM,371,NA,NA,NA,NA,NA,NA
6/29/2021,9:51:39 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:51:44 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:51:49 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:51:54 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:51:59 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:52:04 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:52:09 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:52:14 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:52:19 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:52:24 AM,391,NA,NA,NA,NA,NA,NA
