metadata																													
ID	name	desc	time	keywords	minlat	minlon	maxlat	maxlon																					
1			2021-07-01T16:48:47Z		-0.32983996	-78.20278552	-0.324336737	-78.19913671																					
																													
author																													
ID	name	email																											
																													
copyright																													
year	license	author																											
																													
link																													
metadataID	authorID	wptID	rteptID	trkptID	rteID	trkID	text	type	href																				
1							Garmin International		http://www.garmin.com																				
																													
rte																													
ID	name	cmt	desc	src	number	type	IsAutoNamed	DisplayColor	TransportationMode	TripName	Date	DayNumber																	
																													
rtept																													
ID	rteID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	DepartureTime	StopDuration	ArrivalTime	CalculationMode	ElevationMode	NamedRoad_Name	NamedRoad_Id	NamedRoad_ProductId	TransportationMode
																													
wpt																													
ID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Proximity	Temperature	Depth	DisplayMode	Samples	Expiration	CreationTime			
																													
Address																													
wptID	StreetAddress1	StreetAddress2	City	State	Country	PostalCode																							
																													
PhoneNumber																													
wptID	Category	value																											
239	1	-0.329591185	-78.20137787	4081.41	6/29/2021	15:10:07	10:10:07																						
240	1	-0.329580372	-78.20136337	4081.41	6/29/2021	15:10:34	10:10:34																						
241	1	-0.329570984	-78.20135691	4081.41	6/29/2021	15:11:07	10:11:07																						
242	1	-0.32957484	-78.2013606	4081.41	6/29/2021	15:11:29	10:11:29																						
243	1	-0.329573248	-78.20135792	4081.41	6/29/2021	15:12:02	10:12:02																						
244	1	-0.329566039	-78.20135549	4081.41	6/29/2021	15:12:33	10:12:33																						
245	1	-0.329560591	-78.2013523	4080.93	6/29/2021	15:13:01	10:13:01																						
246	1	-0.329560256	-78.20135096	4080.45	6/29/2021	15:13:28	10:13:28																						
247	1	-0.329559166	-78.20134895	4080.93	6/29/2021	15:13:57	10:13:57																						
248	1	-0.329558915	-78.20134819	4080.93	6/29/2021	15:14:28	10:14:28																						
249	1	-0.329559837	-78.20134786	4081.9	6/29/2021	15:15:00	10:15:00																						
250	1	-0.329560004	-78.20134803	4076.61	6/29/2021	15:15:10	10:15:10																						
251	1	-0.329560004	-78.20134803	4082.38	6/29/2021	15:15:11	10:15:11																						
252	1	-0.329560088	-78.20134803	4082.86	6/29/2021	15:15:12	10:15:12																						
253	1	-0.329560675	-78.20134836	4076.61	6/29/2021	15:15:20	10:15:20																						
254	1	-0.329560675	-78.20134836	4082.86	6/29/2021	15:15:21	10:15:21																						
255	1	-0.329554472	-78.20133076	4081.9	6/29/2021	15:15:41	10:15:41																						
256	1	-0.329551538	-78.20132732	4081.9	6/29/2021	15:16:07	10:16:07																						
257	1	-0.329553466	-78.20132255	4081.41	6/29/2021	15:16:31	10:16:31																						
258	1	-0.329551203	-78.20132548	4081.9	6/29/2021	15:16:51	10:16:51																						
