OBJECTID,pointid,FloAccu,lat,lon,ele
1819,185635,768,-0.33895343,-78.2033929,4055
1820,185636,4230,-0.33895314,-78.20239655,4029
1821,185637,4238,-0.33895313,-78.20236963,4028
1822,185638,7006,-0.33895301,-78.20193877,4012
1823,185639,364,-0.33895284,-78.20137328,3999
1824,185640,396,-0.33895283,-78.20134635,3999
1825,185641,1470,-0.33895267,-78.20078085,3993
1826,185642,2143,-0.33895217,-78.19908437,3957
1827,185643,1174,-0.33895217,-78.19905744,3957
1828,185644,1308,-0.33895216,-78.19903051,3957
1829,185645,97544,-0.33895193,-78.19824959,3961
1830,185646,97543,-0.33895192,-78.19822267,3961
