OBJECTID,pointid,FloAccu,Ele,lat,lon
9479,170130,478,4049,-0.3346155,-78.20191308
9480,170131,479,4048,-0.33461549,-78.20188615
9481,170132,480,4047,-0.33461549,-78.20185923
9482,170133,481,4046,-0.33461548,-78.2018323
9483,170134,482,4045,-0.33461547,-78.20180537
9484,170135,483,4044,-0.33461546,-78.20177844
9485,170136,484,4043,-0.33461546,-78.20175151
9486,170137,485,4042,-0.33461545,-78.20172458
9487,170138,486,4041,-0.33461544,-78.20169766
9488,170139,487,4040,-0.33461543,-78.20167073
9489,170140,488,4040,-0.33461542,-78.2016438
9490,170141,506,4039,-0.33461542,-78.20161687
9491,170142,947,4038,-0.33461539,-78.20150916
9492,170143,6602,4038,-0.33461538,-78.20148223
9493,170144,1720,4039,-0.33461522,-78.20091673
9494,170145,3502,4001,-0.3346148,-78.19946261
9495,170146,1197,4001,-0.33461479,-78.19943568
9496,170147,475,4001,-0.33461463,-78.19887018
9497,170148,318,4001,-0.33461453,-78.19852012
9498,170149,1909,4001,-0.33461452,-78.19849319
9499,170150,513,4001,-0.33461451,-78.19846626
9500,170151,47067,4022,-0.33461415,-78.19722756
9501,170152,442,4043,-0.33461391,-78.19639279
9502,170153,809,4057,-0.33461377,-78.19588115
9503,170154,804,4058,-0.33461376,-78.19585422
9504,170155,800,4059,-0.33461375,-78.19582729
9505,170156,797,4060,-0.33461374,-78.19580037
9506,170157,748,4061,-0.33461374,-78.19577344
9507,170158,746,4062,-0.33461373,-78.19574651
9508,170277,753,4045,-0.33464258,-78.20180536
9509,170278,755,4044,-0.33464257,-78.20177843
9510,170279,757,4043,-0.33464256,-78.2017515
9511,170280,759,4042,-0.33464256,-78.20172458
9512,170281,761,4041,-0.33464255,-78.20169765
9513,170282,764,4040,-0.33464254,-78.20167072
9514,170283,765,4040,-0.33464253,-78.20164379
9515,170284,766,4039,-0.33464253,-78.20161686
9516,170285,1275,4038,-0.33464252,-78.20158993
9517,170286,7551,4037,-0.33464249,-78.20148222
9518,170287,1726,4038,-0.33464232,-78.2008898
9519,170288,4701,4000,-0.3346419,-78.19943567
9520,170289,477,4000,-0.33464173,-78.19884325
9521,170290,319,4000,-0.33464164,-78.19852011
9522,170291,1910,4000,-0.33464163,-78.19849318
9523,170292,514,4000,-0.33464162,-78.19846625
9524,170293,47068,4022,-0.33464126,-78.19722755
9525,170294,444,4041,-0.33464103,-78.19641971
9526,170295,882,4053,-0.33464092,-78.19604271
9527,170296,880,4053,-0.33464091,-78.19601578
9528,170297,860,4054,-0.33464091,-78.19598885
9529,170298,859,4054,-0.3346409,-78.19596193
9530,170299,823,4055,-0.33464089,-78.195935
9531,170300,821,4056,-0.33464088,-78.19590807
9532,170415,334,4049,-0.33466972,-78.20191307
9533,170416,736,4048,-0.33466971,-78.20188614
9534,170417,738,4047,-0.33466971,-78.20185921
9535,170418,741,4046,-0.3346697,-78.20183228
9536,170419,1280,4038,-0.33466962,-78.201563
9537,170420,7552,4037,-0.3346696,-78.20148221
9538,170421,1740,4037,-0.33466942,-78.20086286
9539,170422,4702,4000,-0.33466901,-78.19943566
9540,170423,531,3999,-0.33466883,-78.19881631
9541,170424,320,4000,-0.33466874,-78.1985201
9542,170425,1911,4000,-0.33466874,-78.19849317
9543,170426,521,4000,-0.33466873,-78.19846624
9544,170427,47069,4022,-0.33466837,-78.19722755
9545,170428,447,4040,-0.33466814,-78.1964197
9546,170429,886,4052,-0.33466805,-78.19609656
9547,170430,885,4052,-0.33466804,-78.19606963
9548,170554,325,4053,-0.33469687,-78.2020477
9549,170555,326,4053,-0.33469686,-78.20202077
9550,170556,327,4052,-0.33469685,-78.20199384
9551,170557,328,4051,-0.33469685,-78.20196692
9552,170558,329,4050,-0.33469684,-78.20193999
9553,170559,400,4050,-0.33469683,-78.20191306
9554,170560,1292,4037,-0.33469672,-78.20153606
9555,170561,7589,4037,-0.3346967,-78.20145528
9556,170562,1762,4036,-0.33469653,-78.20086285
9557,170563,4703,3999,-0.33469612,-78.19943565
9558,170564,532,3999,-0.33469594,-78.1988163
9559,170565,321,4000,-0.33469585,-78.19852009
9560,170566,1912,4000,-0.33469585,-78.19849316
9561,170567,523,4000,-0.33469584,-78.19846624
9562,170568,47107,4021,-0.33469548,-78.19722754
9563,170569,490,4039,-0.33469525,-78.19641969
9564,170570,965,4050,-0.33469518,-78.19617734
9565,170571,889,4051,-0.33469517,-78.19615041
9566,170572,888,4051,-0.33469516,-78.19612348
9567,170659,399,4050,-0.33472395,-78.20193998
9568,170660,1293,4037,-0.33472382,-78.20150913
9569,170661,7624,4037,-0.33472381,-78.20145527
9570,170662,1763,4035,-0.33472363,-78.20083592
9571,170663,4719,3998,-0.33472323,-78.19943565
9572,170664,541,3998,-0.33472304,-78.19878937
9573,170665,322,3999,-0.33472296,-78.19852009
9574,170666,2438,3999,-0.33472296,-78.19849316
9575,170667,340,4000,-0.33472292,-78.19838544
9576,170668,47111,4021,-0.33472259,-78.19722753
9577,170669,492,4037,-0.33472237,-78.19644661
9578,170670,971,4047,-0.33472231,-78.19625811
9579,170671,970,4048,-0.3347223,-78.19623119
9580,170672,968,4049,-0.3347223,-78.19620426
9581,170760,388,4050,-0.33475106,-78.20193997
9582,170761,1327,4037,-0.33475092,-78.20148219
9583,170762,7644,4036,-0.33475091,-78.20142833
9584,170763,1782,4033,-0.33475073,-78.20080898
9585,170764,4720,3998,-0.33475034,-78.19943564
9586,170765,542,3998,-0.33475015,-78.19878936
9587,170766,2762,3999,-0.33475007,-78.19852008
9588,170767,353,3999,-0.33475004,-78.19841236
9589,170768,47121,4021,-0.3347497,-78.19722752
9590,170769,520,4036,-0.33474948,-78.1964466
9591,170770,976,4045,-0.33474943,-78.19628503
9592,170864,376,4054,-0.33477821,-78.20210153
9593,170865,377,4054,-0.3347782,-78.20207461
9594,170866,378,4053,-0.3347782,-78.20204768
9595,170867,382,4052,-0.33477819,-78.20202075
9596,170868,383,4052,-0.33477818,-78.20199382
9597,170869,384,4051,-0.33477817,-78.20196689
9598,170870,434,4038,-0.33477807,-78.2015899
9599,170871,435,4038,-0.33477806,-78.20156297
9600,170872,436,4037,-0.33477805,-78.20153604
9601,170873,437,4037,-0.33477804,-78.20150911
9602,170874,438,4037,-0.33477803,-78.20148218
9603,170875,1768,4036,-0.33477803,-78.20145525
9604,170876,7645,4036,-0.33477801,-78.2014014
9605,170877,1784,4032,-0.33477783,-78.20078205
9606,170878,4721,3997,-0.33477745,-78.19943563
9607,170879,548,3997,-0.33477726,-78.19878935
9608,170880,2764,3999,-0.33477718,-78.19852007
9609,170881,357,3999,-0.33477716,-78.19843929
9610,170882,47167,4021,-0.3347768,-78.19720059
9611,170883,521,4035,-0.33477659,-78.19647352
9612,170884,979,4043,-0.33477655,-78.19631195
9613,170971,420,4039,-0.33480518,-78.20161682
9614,170972,1774,4036,-0.33480513,-78.20142832
9615,170973,9422,4036,-0.33480512,-78.20140139
9616,170974,1785,4031,-0.33480493,-78.20075511
9617,170975,4722,3996,-0.33480455,-78.19943562
9618,170976,549,3997,-0.33480437,-78.19878935
9619,170977,2771,3998,-0.3348043,-78.19854699
9620,170978,388,3999,-0.33480427,-78.19843928
