OBJECTID,pointid,FloAccu,ele,lat,lon
440,40797,567,4034,-0.30127296,-78.20951586
441,40798,8923,4031,-0.30127274,-78.20868108
442,40799,717,4038,-0.30127244,-78.20749623
443,40800,2853,4042,-0.30127231,-78.20701152
444,40928,421,4034,-0.30130013,-78.20975821
445,40929,570,4034,-0.30130007,-78.20951585
446,40930,8924,4031,-0.30129986,-78.208708
447,40931,718,4038,-0.30129955,-78.20749622
448,40932,2861,4041,-0.30129943,-78.20706537
449,40933,2860,4041,-0.30129943,-78.20703844
450,41025,424,4034,-0.30132724,-78.2097582
451,41026,577,4034,-0.30132718,-78.20951584
452,41027,8925,4031,-0.30132697,-78.20873492
453,41028,719,4038,-0.30132665,-78.20749621
454,41029,2868,4040,-0.30132655,-78.20709229
455,41185,707,4034,-0.30135436,-78.20978512
456,41186,580,4034,-0.30135429,-78.20951584
457,41187,456,4030,-0.30135413,-78.20892341
458,41188,452,4030,-0.30135413,-78.20889648
459,41189,402,4030,-0.30135412,-78.20886955
460,41190,397,4030,-0.30135411,-78.20884263
461,41191,385,4030,-0.3013541,-78.2088157
462,41192,8937,4031,-0.30135409,-78.20876184
463,41193,720,4038,-0.30135376,-78.20749621
464,41194,2873,4040,-0.30135367,-78.20711921
465,41364,721,4034,-0.30138147,-78.20981204
466,41365,582,4034,-0.3013814,-78.20951583
467,41366,9433,4030,-0.30138125,-78.20895033
468,41367,8944,4030,-0.30138124,-78.2089234
469,41368,8943,4030,-0.30138124,-78.20889648
470,41369,8942,4030,-0.30138123,-78.20886955
471,41370,8941,4030,-0.30138122,-78.20884262
472,41371,8940,4030,-0.30138121,-78.20881569
473,41372,8939,4030,-0.30138121,-78.20878876
474,41373,422,4031,-0.30138119,-78.20873491
475,41374,721,4038,-0.30138087,-78.2074962
476,41375,2877,4039,-0.30138078,-78.20714613
477,41486,722,4034,-0.30140858,-78.20981204
478,41487,583,4034,-0.3014085,-78.20951582
479,41488,9894,4030,-0.30140837,-78.20897725
480,41489,458,4030,-0.30140836,-78.20895033
481,41490,457,4030,-0.30140835,-78.2089234
482,41491,456,4030,-0.30140834,-78.20889647
483,41492,455,4030,-0.30140834,-78.20886954
484,41493,454,4030,-0.30140833,-78.20884261
485,41494,453,4030,-0.30140832,-78.20881568
486,41495,452,4030,-0.30140832,-78.20878876
487,41496,451,4030,-0.30140831,-78.20876183
488,41497,722,4038,-0.30140798,-78.20749619
489,41498,2880,4039,-0.3014079,-78.20717305
490,41632,731,4034,-0.30143569,-78.20981203
491,41633,584,4034,-0.30143561,-78.20951582
492,41634,9919,4030,-0.30143548,-78.20900418
493,41635,307,4038,-0.30143511,-78.20757697
494,41636,723,4038,-0.30143509,-78.20749619
495,41637,2883,4038,-0.30143502,-78.20719997
496,41748,740,4034,-0.3014628,-78.20981202
497,41749,585,4034,-0.30146272,-78.20951581
498,41750,9945,4030,-0.3014626,-78.2090311
499,41751,319,4038,-0.30146222,-78.20755004
500,41752,724,4038,-0.3014622,-78.20749618
501,41753,2884,4038,-0.30146213,-78.20722689
502,41754,322,4043,-0.30146194,-78.2064729
503,41860,752,4033,-0.30148992,-78.20983894
504,41861,586,4034,-0.30148983,-78.2095158
505,41862,10027,4030,-0.30148972,-78.20905802
506,41863,324,4038,-0.30148932,-78.2075231
507,41864,896,4038,-0.30148931,-78.20749617
508,41865,2885,4038,-0.30148925,-78.20725382
509,41866,408,4043,-0.30148911,-78.20671525
510,41867,367,4043,-0.3014891,-78.20668832
511,41868,366,4043,-0.3014891,-78.20666139
512,41869,365,4043,-0.30148909,-78.20663446
513,41870,364,4043,-0.30148908,-78.20660754
514,41871,363,4043,-0.30148908,-78.20658061
515,41872,344,4043,-0.30148907,-78.20655368
516,41873,342,4043,-0.30148906,-78.20652675
517,41874,336,4043,-0.30148905,-78.20649982
518,41982,765,4033,-0.30151703,-78.20986586
519,41983,587,4033,-0.30151694,-78.2095158
520,41984,592,4033,-0.30151694,-78.20948887
521,41985,605,4033,-0.30151693,-78.20946194
522,41986,10084,4030,-0.30151683,-78.20908494
523,41987,1224,4038,-0.30151642,-78.20749616
524,41988,2886,4038,-0.30151637,-78.20728074
525,41989,488,4038,-0.30151634,-78.20717302
526,41990,487,4039,-0.30151633,-78.2071461
527,41991,486,4039,-0.30151632,-78.20711917
528,41992,485,4039,-0.30151632,-78.20709224
529,41993,465,4040,-0.30151631,-78.20706531
530,41994,464,4040,-0.3015163,-78.20703838
531,41995,463,4041,-0.3015163,-78.20701145
532,41996,462,4041,-0.30151629,-78.20698453
533,41997,461,4042,-0.30151628,-78.2069576
534,41998,460,4042,-0.30151627,-78.20693067
535,41999,459,4043,-0.30151627,-78.20690374
536,42000,458,4043,-0.30151626,-78.20687681
537,42001,457,4043,-0.30151625,-78.20684988
538,42002,456,4043,-0.30151625,-78.20682296
539,42003,420,4043,-0.30151624,-78.20679603
540,42004,419,4043,-0.30151623,-78.2067691
541,42005,418,4043,-0.30151623,-78.20674217
542,42118,766,4033,-0.30154414,-78.20986586
543,42119,616,4033,-0.30154403,-78.209435
544,42120,10107,4030,-0.30154395,-78.20911186
545,42121,1241,4038,-0.30154352,-78.20746923
546,42122,2918,4038,-0.30154348,-78.20730766
547,42123,549,4038,-0.30154345,-78.20719995
548,42221,777,4033,-0.30157125,-78.20986585
549,42222,619,4033,-0.30157113,-78.20940807
550,42223,10123,4030,-0.30157106,-78.20913878
551,42224,1242,4038,-0.30157063,-78.20746922
552,42225,2922,4038,-0.3015706,-78.20733458
553,42226,551,4038,-0.30157057,-78.20722687
554,42327,780,4033,-0.30159836,-78.20986584
555,42328,620,4033,-0.30159824,-78.20938113
556,42329,10232,4030,-0.30159818,-78.2091657
557,42330,1243,4038,-0.30159774,-78.20746922
558,42331,3204,4038,-0.30159771,-78.2073615
559,42332,553,4038,-0.30159769,-78.20725379
560,42461,799,4032,-0.30162548,-78.20989277
561,42462,623,4031,-0.30162534,-78.2093542
562,42463,10261,4030,-0.3016253,-78.20919263
563,42464,1244,4038,-0.30162485,-78.20746921
564,42465,3205,4038,-0.30162482,-78.2073615
565,42466,555,4038,-0.3016248,-78.20728071
566,42588,800,4032,-0.30165259,-78.20989276
567,42589,628,4031,-0.30165245,-78.20935419
568,42590,10295,4030,-0.30165241,-78.20921955
569,42591,1245,4038,-0.30165196,-78.2074692
570,42592,3219,4038,-0.30165193,-78.20736149
571,42593,557,4038,-0.30165192,-78.20730763
572,42716,801,4032,-0.3016797,-78.20989275
573,42717,633,4030,-0.30167955,-78.20932725
574,42718,10481,4030,-0.30167953,-78.20924647
575,42719,1246,4038,-0.30167907,-78.20746919
576,42720,3827,4038,-0.30167904,-78.20736148
577,42721,559,4038,-0.30167904,-78.20733455
578,42840,300,4037,-0.3017069,-78.21024281
579,42841,802,4032,-0.30170681,-78.20989274
580,42842,721,4030,-0.30170666,-78.20932725
581,42843,10485,4030,-0.30170665,-78.20927339
582,42844,1247,4037,-0.30170618,-78.20746919
583,42845,3872,4037,-0.30170616,-78.2073884
584,42977,302,4035,-0.301734,-78.21021588
585,42978,308,4034,-0.30173399,-78.21018895
586,42979,803,4032,-0.30173392,-78.20989274
587,42980,732,4030,-0.30173378,-78.20935417
588,42981,10499,4030,-0.30173376,-78.20930031
589,42982,1338,4037,-0.30173329,-78.20746918
590,42983,3875,4037,-0.30173328,-78.20741532
591,43063,319,4033,-0.3017611,-78.21016202
592,43064,804,4031,-0.30176103,-78.20989273
593,43065,738,4030,-0.30176089,-78.20938109
594,43066,10503,4030,-0.30176088,-78.20932723
595,43067,5439,4037,-0.3017604,-78.20746917
596,43068,4053,4037,-0.30176039,-78.20744225
597,43173,339,4032,-0.3017882,-78.21013508
598,43174,805,4031,-0.30178814,-78.20989272
599,43175,746,4030,-0.30178801,-78.20940801
600,43176,10534,4030,-0.301788,-78.20935416
601,43177,5458,4036,-0.30178752,-78.2074961
602,43263,340,4032,-0.3018153,-78.21010814
603,43264,806,4031,-0.30181525,-78.20989272
604,43265,748,4030,-0.30181513,-78.20943493
605,43266,10538,4030,-0.30181511,-78.20938108
606,43267,5511,4036,-0.30181463,-78.20752302
607,43335,342,4032,-0.30184241,-78.21010814
608,43336,945,4030,-0.30184235,-78.20989271
609,43337,752,4030,-0.30184224,-78.20946186
610,43338,10547,4030,-0.30184223,-78.209408
611,43339,5559,4036,-0.30184177,-78.20763072
612,43340,5544,4036,-0.30184176,-78.2076038
613,43341,5526,4036,-0.30184176,-78.20757687
614,43342,5525,4036,-0.30184175,-78.20754994
615,43416,345,4031,-0.30186951,-78.2100812
616,43417,346,4031,-0.30186951,-78.21005427
617,43418,357,4031,-0.3018695,-78.21002735
618,43419,428,4031,-0.30186949,-78.21000042
619,43420,954,4030,-0.30186946,-78.20986577
620,43421,803,4030,-0.30186936,-78.20948878
621,43422,10577,4030,-0.30186935,-78.20943492
622,43423,5608,4035,-0.3018689,-78.2077115
623,43424,5566,4035,-0.30186889,-78.20768457
624,43425,5565,4035,-0.30186889,-78.20765765
625,43479,435,4030,-0.30189659,-78.20997348
626,43480,1002,4030,-0.30189656,-78.20983884
