"Plot Title: LUXabajo_04							",,,,,,,
"#	""Date Time"," GMT-05:00""	""Temp", °C (LGR S/N: 10801154, SEN S/N: 10801154," LBL: Blue)""	""Intensity", Lux (LGR S/N: 10801154," SEN S/N: 10801154)""	Coupler Attached (LGR S/N: 10801154)	Host Connected (LGR S/N: 10801154)	Stopped (LGR S/N: 10801154)	End Of File (LGR S/N: 10801154)",
369,6/18/2021 10:30,7.582,5166.7,,,,
370,6/18/2021 10:45,7.582,4994.5,,,,
371,6/18/2021 11:00,7.682,3788.9,,,,
372,6/18/2021 11:15,7.983,5511.1,,,,
373,6/18/2021 11:30,7.983,4305.6,,,,
374,6/18/2021 11:45,8.182,6200,,,,
375,6/18/2021 12:00,8.182,4305.6,,,,
376,6/18/2021 12:15,8.382,7233.4,,,,
377,6/18/2021 12:30,8.382,4650,,,,
378,6/18/2021 12:45,8.382,2927.8,,,,
379,6/18/2021 13:00,8.382,7577.8,,,,
380,6/18/2021 13:15,8.382,5166.7,,,,
381,6/18/2021 13:30,8.581,5511.1,,,,
382,6/18/2021 13:44,,,Logged,Logged,,
383,6/18/2021 13:44,,,,,Logged,Logged
