"Plot Title: RogersRoad_LUX"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10801157, SEN S/N: 10801157)","Intensity, Lux (LGR S/N: 10801157, SEN S/N: 10801157)","Coupler Attached (LGR S/N: 10801157)","Host Connected (LGR S/N: 10801157)","Stopped (LGR S/N: 10801157)","End Of File (LGR S/N: 10801157)"
239,07/10/21 04:40:00 AM,6.471,0.0,,,,
240,07/10/21 04:45:00 AM,6.471,0.0,,,,
241,07/10/21 04:50:00 AM,6.471,0.0,,,,
242,07/10/21 04:55:00 AM,6.370,0.0,,,,
243,07/10/21 05:00:00 AM,6.370,0.0,,,,
244,07/10/21 05:05:00 AM,6.370,0.0,,,,
245,07/10/21 05:10:00 AM,6.370,0.0,,,,
246,07/10/21 05:15:00 AM,6.370,0.0,,,,
247,07/10/21 05:20:00 AM,6.370,0.0,,,,
248,07/10/21 05:25:00 AM,6.370,0.0,,,,
249,07/10/21 05:30:00 AM,6.370,0.0,,,,
250,07/10/21 05:35:00 AM,6.370,0.0,,,,
251,07/10/21 05:40:00 AM,6.370,0.0,,,,
252,07/10/21 05:45:00 AM,6.370,0.0,,,,
253,07/10/21 05:50:00 AM,6.370,0.0,,,,
254,07/10/21 05:55:00 AM,6.370,0.0,,,,
255,07/10/21 06:00:00 AM,6.370,0.0,,,,
256,07/10/21 06:05:00 AM,6.370,0.0,,,,
257,07/10/21 06:10:00 AM,6.370,0.0,,,,
258,07/10/21 06:15:00 AM,6.370,0.0,,,,
259,07/10/21 06:20:00 AM,6.370,0.0,,,,
260,07/10/21 06:25:00 AM,6.370,0.0,,,,
261,07/10/21 06:30:00 AM,6.370,0.0,,,,
262,07/10/21 06:35:00 AM,6.370,0.0,,,,
263,07/10/21 06:40:00 AM,6.370,0.0,,,,
264,07/10/21 06:45:00 AM,6.370,0.0,,,,
265,07/10/21 06:50:00 AM,6.370,0.0,,,,
266,07/10/21 06:55:00 AM,6.370,0.0,,,,
267,07/10/21 07:00:00 AM,6.370,0.0,,,,
268,07/10/21 07:05:00 AM,6.370,0.0,,,,
269,07/10/21 07:10:00 AM,6.370,0.0,,,,
270,07/10/21 07:15:00 AM,6.370,0.0,,,,
271,07/10/21 07:20:00 AM,6.370,0.0,,,,
272,07/10/21 07:25:00 AM,6.268,0.0,,,,
273,07/10/21 07:30:00 AM,6.370,0.0,,,,
274,07/10/21 07:35:00 AM,6.370,0.0,,,,
275,07/10/21 07:40:00 AM,6.268,0.0,,,,
276,07/10/21 07:45:00 AM,6.370,10.8,,,,
277,07/10/21 07:50:00 AM,6.268,21.5,,,,
278,07/10/21 07:55:00 AM,6.268,10.8,,,,
279,07/10/21 08:00:00 AM,6.370,21.5,,,,
280,07/10/21 08:05:00 AM,6.370,75.3,,,,
281,07/10/21 08:10:00 AM,6.370,53.8,,,,
282,07/10/21 08:15:00 AM,6.370,118.4,,,,
283,07/10/21 08:20:00 AM,6.370,96.9,,,,
284,07/10/21 08:25:00 AM,6.370,75.3,,,,
285,07/10/21 08:30:00 AM,6.370,139.9,,,,
286,07/10/21 08:35:00 AM,6.370,129.2,,,,
287,07/10/21 08:40:00 AM,6.370,129.2,,,,
288,07/10/21 08:45:00 AM,6.370,161.5,,,,
289,07/10/21 08:50:00 AM,6.370,139.9,,,,
290,07/10/21 08:55:00 AM,6.370,107.6,,,,
291,07/10/21 09:00:00 AM,6.370,236.8,,,,
292,07/10/21 09:05:00 AM,6.370,183.0,,,,
293,07/10/21 09:10:00 AM,6.370,204.5,,,,
294,07/10/21 09:15:00 AM,6.471,193.8,,,,
295,07/10/21 09:20:00 AM,6.471,236.8,,,,
296,07/10/21 09:25:00 AM,6.471,312.2,,,,
297,07/10/21 09:30:00 AM,6.471,290.6,,,,
298,07/10/21 09:35:00 AM,6.471,204.5,,,,
299,07/10/21 09:40:00 AM,6.471,398.3,,,,
300,07/10/21 09:45:00 AM,6.573,409.0,,,,
301,07/10/21 09:50:00 AM,6.573,538.2,,,,
302,07/10/21 09:55:00 AM,6.573,247.6,,,,
303,07/10/21 10:00:00 AM,6.573,258.3,,,,
304,07/10/21 10:05:00 AM,6.573,419.8,,,,
