"Plot Title: LUXarriba_04"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 10801151, SEN S/N: 10801151)","Coupler Attached (LGR S/N: 10801151)","Host Connected (LGR S/N: 10801151)","Stopped (LGR S/N: 10801151)","End Of File (LGR S/N: 10801151)"
368,06/29/21 09:45:00 AM,49600.3,,,,
369,06/29/21 10:00:00 AM,33066.9,,,,
370,06/29/21 10:15:00 AM,28933.5,,,,
371,06/29/21 10:30:00 AM,26178.0,,,,
372,06/29/21 10:45:00 AM,60622.6,,,,
373,06/29/21 11:00:00 AM,63378.2,,,,
374,06/29/21 11:15:00 AM,88178.4,,,,
375,06/29/21 11:30:00 AM,126756.4,,,,
376,06/29/21 11:45:00 AM,60622.6,,,,
377,06/29/21 12:00:00 PM,85422.8,,,,
378,06/29/21 12:15:00 PM,115734.1,,,,
379,06/29/21 12:30:00 PM,74400.5,,,,
380,06/29/21 12:45:00 PM,31689.1,,,,
381,06/29/21 01:00:00 PM,49600.3,,,,
382,06/29/21 01:15:00 PM,41333.6,,,,
383,06/29/21 01:30:00 PM,35822.5,,,,
384,06/29/21 01:45:00 PM,66133.8,,,,
385,06/29/21 02:00:00 PM,38578.0,,,,
386,06/29/21 02:15:00 PM,49600.3,,,,
387,06/29/21 02:30:00 PM,49600.3,,,,
388,06/29/21 02:45:00 PM,60622.6,,,,
389,06/29/21 03:00:00 PM,49600.3,,,,
390,06/29/21 03:15:00 PM,49600.3,,,,
391,06/29/21 03:30:00 PM,15844.5,,,,
392,06/29/21 03:45:00 PM,14466.8,,,,
393,06/29/21 04:00:00 PM,24800.2,,,,
394,06/29/21 04:15:00 PM,20666.8,,,,
395,06/29/21 04:30:00 PM,46844.8,,,,
396,06/29/21 04:45:00 PM,20666.8,,,,
397,06/29/21 05:00:00 PM,15155.7,,,,
398,06/29/21 05:15:00 PM,8611.2,,,,
399,06/29/21 05:30:00 PM,5166.7,,,,
400,06/29/21 05:45:00 PM,2583.4,,,,
401,06/29/21 06:00:00 PM,355.2,,,,
