Device Name:,,OM-CP-VOLT101A,,,,,,,,,
Device Description:,,Voltage Data Logger,,,,,,,,,
Serial Number:,,R37297,,,,,,,,,
Device ID:,,SynopticOld,,,,,,,,,
,,,,,,,,,,,
,,Channel 1,,,,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,lat,lon,elev,WS,Notes,Notes_2
7/5/2021,1:04:50 PM,777,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:04:55 PM,772,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:05:00 PM,772,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:05:05 PM,772,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:05:10 PM,762,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:05:15 PM,747,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:05:20 PM,727,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:05:25 PM,701,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:05:30 PM,676,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:05:35 PM,656,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:05:40 PM,636,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:05:45 PM,621,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:05:50 PM,606,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:05:55 PM,596,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:06:00 PM,591,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:06:05 PM,591,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:06:10 PM,591,NA,NA,NA,NA,NA,NA,NA,NA,
