"","lon_fit","lat_fit","lon_dist","lat_dist","lon","lat","ele","time","lat_wypt","lon_wypt","ele_wypt","Date","EOS_no","Flux_ave","Tract","Point","CO2_ppm_ave","adjusted_ppm","DOC","TDN","AirTemp_c","VaisalaType","Total_hPa","GAVI_waterTempAve","ele_fit","slope","ante_slope","dist"
"251",-78.1940555970173,-0.31473241296339,-78.1940538515481,-0.31473341296339,-78.1940403487533,-0.314704589545727,4268.39,"2021-07-12 10:48:30",-0.314711965620518,-78.1940410193056,4269.350098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.18875007928,0.0185561125695106,0.0173199163109464,444.414534787383
"250",-78.1940538515481,-0.31473341296339,-78.1940521108975,-0.31473441296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.19098939218,0.0185338359222176,0.0173526488880843,444.190603497159
"249",-78.1940521108975,-0.31473441296339,-78.1940503750526,-0.31473541296339,NA,NA,NA,NA,NA,NA,NA,"2021-07-05","EOS1",0.11,1,1,330.024305555556,370.10849944053,3.866,0.1229,6.67875,"new",627.380983333333,10.4663333333333,4267.19322405249,0.0185113179586605,0.0173837617208248,443.967137466076
"248",-78.1940503750526,-0.31473541296339,-78.194048644001,-0.31473641296339,-78.1940518319607,-0.314735937863588,4270.31,"2021-07-12 10:42:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.19545407568,0.0184885655574146,0.0174133376377438,443.74413514749
"247",-78.194048644001,-0.31473641296339,-78.1940469177296,-0.31473741296339,-78.19405795075,-0.314754042774439,4269.35,"2021-07-12 10:41:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.19767947718,0.0184655855138601,0.017441453781501,443.521594997764
"246",-78.1940469177296,-0.31473741296339,-78.194045196226,-0.31473841296339,-78.1940440367907,-0.314734261482954,4263.58,"2021-07-12 10:54:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.19990027249,0.0184423845286644,0.0174681820856911,443.299515466451
"245",-78.194045196226,-0.31473841296339,-78.1940434794773,-0.31473941296339,-78.1940391752869,-0.31472965143621,4269.35,"2021-07-12 10:49:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.20211647704,0.0184189692184751,0.0174935897089252,443.077895011034
"244",-78.1940434794773,-0.31473941296339,-78.1940417674708,-0.31474041296339,-78.1940468028188,-0.314745241776109,4266.47,"2021-07-12 10:55:00",-0.314744990319014,-78.1940469704568,4266.26123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.20432810627,0.0183953461173833,0.0175177394459937,442.856732088331
"243",-78.1940417674708,-0.31474041296339,-78.1940400601938,-0.31474141296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.20653517561,0.0183715216668295,0.0175406900614753,442.636025154533
"242",-78.1940400601938,-0.31474141296339,-78.1940383576336,-0.31474241296339,-78.1940390076488,-0.314737698063254,4268.87,"2021-07-12 10:56:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.20873770052,0.0183475022280334,0.0175624966432382,442.415772663966
