"","lat_fit","lon_fit","lon_dist","lat_dist","dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","CO2_ppm_ave","adjusted_ppm","AirTemp_c","VaisalaType","Total_hPa","COLM_waterTempAve","ele_fit"
"100",-0.34845041087091,-78.1994518358771,-78.1994473431821,-0.34846041087091,88.0270335220414,-0.348444683477283,-78.1994315050542,3894.92,2021-07-16 10:21:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.12407091919
"101",-0.34844041087091,-78.1994570761134,-78.1994518358771,-0.34845041087091,89.2838057298184,-0.348443510010839,-78.1994556449354,3898.76,2021-07-16 10:23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.14584519286
"102",-0.34843041087091,-78.1994630463442,-78.1994570761134,-0.34844041087091,90.5802947528124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.16815537867
"103",-0.34842041087091,-78.1994697104663,-78.1994630463442,-0.34843041087091,91.9180238115267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.19101537762
"104",-0.34841041087091,-78.1994770157767,-78.1994697104663,-0.34842041087091,93.2966139633234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.21440615025
"105",-0.34840041087091,-78.1994848952981,-78.1994770157767,-0.34841041087091,94.7138495133014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.23827799865
"106",-0.34839041087091,-78.1994932703536,-78.1994848952981,-0.34840041087091,96.165871184833,-0.348387351259589,-78.1994911842048,3897.32,2021-07-16 10:37:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.26255497462
"107",-0.34838041087091,-78.1995020532774,-78.1994932703536,-0.34839041087091,97.6474533087885,-0.348368072882295,-78.19948120974,3901.65,2021-07-16 10:23:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.28714055456
"108",-0.34838041087091,-78.1995020532774,-78.1994932703536,-0.34839041087091,97.6474533087885,-0.348380645737052,-78.1995031703264,3898.76,2021-07-16 10:25:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.28714055456
"109",-0.34837041087091,-78.1995111501596,-78.1995020532774,-0.34838041087091,99.1523273424656,-0.348353823646903,-78.1994952075183,3897.8,2021-07-16 10:25:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.31192385941
"110",-0.34837041087091,-78.1995111501596,-78.1995020532774,-0.34838041087091,99.1523273424656,-0.348325744271278,-78.1994647812098,3898.76,2021-07-16 10:28:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.31192385941
"111",-0.34836041087091,-78.19952046353,-78.1995111501596,-0.34837041087091,100.673522187636,-0.348332365974784,-78.1994875799865,3900.69,2021-07-16 10:26:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.33678587177
"112",-0.34836041087091,-78.19952046353,-78.1995111501596,-0.34837041087091,100.673522187636,-0.348363211378455,-78.1995201017708,3901.65,2021-07-16 10:26:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.33678587177
"113",-0.34835041087091,-78.1995298949055,-78.19952046353,-0.34836041087091,102.203699821972,-0.348311495035887,-78.1994945369661,3896.84,2021-07-16 10:29:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.3616052715
"114",-0.34835041087091,-78.1995298949055,-78.19952046353,-0.34836041087091,102.203699821972,-0.348368156701326,-78.1995423138142,3894.92,2021-07-16 10:33:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.3616052715
"115",-0.34834041087091,-78.1995393471332,-78.1995298949055,-0.34835041087091,103.735471005215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.38615730318
"116",-0.34833041087091,-78.199548726486,-78.1995393471332,-0.34834041087091,105.261681143558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.41023321452
"117",-0.34832041087091,-78.1995579444751,-78.199548726486,-0.34833041087091,106.775659706955,-0.348342172801495,-78.199573662132,3900.69,2021-07-16 10:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.4337483306
"118",-0.34832041087091,-78.1995579444751,-78.199548726486,-0.34833041087091,106.775659706955,-0.348331611603498,-78.1995719019324,3903.09,2021-07-16 10:24:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.4337483306
"119",-0.34832041087091,-78.1995579444751,-78.199548726486,-0.34833041087091,106.775659706955,-0.348330102860928,-78.1995730753988,3903.09,2021-07-16 10:27:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.4337483306
"120",-0.34832041087091,-78.1995579444751,-78.199548726486,-0.34833041087091,106.775659706955,-0.348325492814183,-78.199568213895,3900.69,2021-07-16 10:27:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.4337483306
"121",-0.34832041087091,-78.1995579444751,-78.199548726486,-0.34833041087091,106.775659706955,-0.348318452015519,-78.1995614245534,3898.28,2021-07-16 10:28:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.4337483306
"122",-0.34832041087091,-78.1995579444751,-78.199548726486,-0.34833041087091,106.775659706955,-0.348332030698657,-78.199576260522,3894.44,2021-07-16 10:33:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.4337483306
"123",-0.34831041087091,-78.1995669193551,-78.1995579444751,-0.34832041087091,108.27142874189,-0.34832046367228,-78.1995687168092,3896.36,2021-07-16 10:32:30,"2021-07-06","EOS_1",1.06,2,432.023333333333,480.571889920504,6.86,"new",626.5954,7.381,3897.4566342352
"124",-0.34830041087091,-78.1995755773279,-78.1995669193551,-0.34831041087091,109.743869294674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.47883978436
"125",-0.34829041087091,-78.1995838534364,-78.1995755773279,-0.34830041087091,111.188843633455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.50033137299
"126",-0.34828041087091,-78.1995916921727,-78.1995838534364,-0.34829041087091,112.603273817091,-0.348304873332381,-78.1996258813888,3895.4,2021-07-16 10:29:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.52109258515
"127",-0.34828041087091,-78.1995916921727,-78.1995838534364,-0.34829041087091,112.603273817091,-0.348306633532047,-78.1996278092265,3895.88,2021-07-16 10:32:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.52109258515
"128",-0.34827041087091,-78.1995990478144,-78.1995916921727,-0.34828041087091,113.985176352113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.54112332117
"129",-0.34826041087091,-78.1996058845256,-78.1995990478144,-0.34827041087091,115.333654242132,-0.348264388740063,-78.1996149010956,3895.88,2021-07-16 10:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.56043849146
"130",-0.34826041087091,-78.1996058845256,-78.1995990478144,-0.34827041087091,115.333654242132,-0.348263215273619,-78.1995998136699,3893.48,2021-07-16 10:39:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.56043849146
"131",-0.34825041087091,-78.1996121762438,-78.1996058845256,-0.34826041087091,116.648847061121,-0.348255923017859,-78.1996197625995,3899.24,2021-07-16 10:30:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.57906633196
"132",-0.34825041087091,-78.1996121762438,-78.1996058845256,-0.34826041087091,116.648847061121,-0.348249804228544,-78.1996017415076,3896.84,2021-07-16 10:31:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.57906633196
"133",-0.34825041087091,-78.1996121762438,-78.1996058845256,-0.34826041087091,116.648847061121,-0.348246451467276,-78.1996003165841,3897.32,2021-07-16 10:31:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.57906633196
"134",-0.34825041087091,-78.1996121762438,-78.1996058845256,-0.34826041087091,116.648847061121,-0.348252151161432,-78.1996186729521,3893.96,2021-07-16 10:38:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.57906633196
"135",-0.34825041087091,-78.1996121762438,-78.1996058845256,-0.34826041087091,116.648847061121,-0.348252905532718,-78.1996135599911,3891.55,2021-07-16 10:38:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.57906633196
"136",-0.34825041087091,-78.1996121762438,-78.1996058845256,-0.34826041087091,116.648847061121,-0.348254330456257,-78.1996242888272,3897.8,2021-07-16 10:51:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.57906633196
"137",-0.34824041087091,-78.199617906391,-78.1996121762438,-0.34825041087091,117.931841615268,-0.348253743723035,-78.1996303237975,3899.24,2021-07-16 10:37:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.59704640157
"138",-0.34823041087091,-78.1996230674437,-78.199617906391,-0.34824041087091,119.184546907358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.61442731959
"139",-0.34822041087091,-78.1996276603811,-78.1996230674437,-0.34823041087091,120.40953834495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.63126430324
"140",-0.34821041087091,-78.1996316940673,-78.1996276603811,-0.34822041087091,121.609880586801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.64761661593
"141",-0.34820041087091,-78.1996351845625,-78.1996316940673,-0.34821041087091,122.788937974689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.66354502118
