"","lat_fit","lon_fit","lon_dist","lat_dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","ele_fit","dist_diff","dist","slope50m"
"16512",-0.328870313073492,-78.2015960469715,-78.2015960348224,-0.328870413073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.97693944688,0.011213799874298,30.0837246654183,-0.103357749963017
"16511",-0.328870413073492,-78.2015960348224,-78.2015960226428,-0.328870513073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.97450177993,0.0112142090987959,30.0949388745171,-0.103400235230529
"16510",-0.328870513073492,-78.2015960226428,-78.2015960104329,-0.328870613073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.97206130463,0.0112146179593253,30.1061534924764,-0.10344278072413
"16509",-0.328870613073492,-78.2015960104329,-78.2015959981927,-0.328870713073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.9696180142,0.0112150274781015,30.1173685199545,-0.103485386597977
"16508",-0.328870713073492,-78.2015959981927,-78.2015959859223,-0.328870813073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.96717190163,0.0112154362726642,30.1285839562271,-0.103528053017954
"16507",-0.328870813073492,-78.2015959859223,-78.2015959736217,-0.328870913073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.9647229602,0.0112158453731865,30.1397998016003,-0.103570780136353
"16506",-0.328870913073492,-78.2015959736217,-78.2015959612912,-0.328871013073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.96227118298,0.0112162533716287,30.151016054972,-0.103613568117518
"16505",-0.328871013073492,-78.2015959612912,-78.2015959489306,-0.328871113073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.95981656334,0.0112166630489696,30.1622327180209,-0.103656417105775
"16504",-0.328871113073492,-78.2015959489306,-78.2015959365402,-0.328871213073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.95735909405,0.0112170712700674,30.173449789291,-0.103699327276309
"16503",-0.328871213073492,-78.2015959365402,-78.20159592412,-0.328871313073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.95489876854,0.0112174788957304,30.1846672681867,-0.103742298778339
"16502",-0.328871313073492,-78.20159592412,-78.2015959116701,-0.328871413073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.95243558008,0.0112178876478879,30.1958851558346,-0.103785331761181
"16501",-0.328871413073492,-78.2015959116701,-78.2015958991905,-0.328871513073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.94996952154,0.0112182950888666,30.2071034509235,-0.10382842639497
"16500",-0.328871513073492,-78.2015958991905,-78.2015958866814,-0.328871613073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.94750058634,0.0112187034877707,30.2183221544113,-0.103871582823973
"16499",-0.328871613073492,-78.2015958866814,-78.2015958741428,-0.328871713073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.94502876738,0.0112191110661399,30.2295412654774,-0.103914801215015
"16498",-0.328871713073492,-78.2015958741428,-78.2015958615749,-0.328871813073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.94255405797,0.0112195180046513,30.240760783482,-0.103958081721089
"16497",-0.328871813073492,-78.2015958615749,-78.2015958489776,-0.328871913073492,-0.328874364495277,-78.2016159128398,4098.24,2021-12-18 13:22:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.94007645136,0.0112199257083034,30.2519807091903,-0.104001424491482
"16496",-0.328871913073492,-78.2015958489776,-78.2015958363511,-0.328872013073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.93759594051,0.0112203325626297,30.263201041753,-0.104044829691079
