"","lon_fit","lat_fit","ele_fit","width","depth","dist","dist_ANTE","dist_GAVI","dist_COLM","dist_GAVItrib1","dist_GAVItrib2","dist_GAVItrib3","slope50m","Wetland","Wetland_2","Wetland_3","Wetland_4","Wetland_5","CatchmentSize_ha","CatchmentSize_m2","CatchmentSize_km2","Date","EOS_no","VaisalaType","CO2_ppm_ave","pCO2_ppm","F_CO2_umol_m2_s","flux_umolpers","Flux_gCO2asCperM2perDay","Totalflux_umolpers","WaterTemp_c","AirTemp_c","air_pressure_hpa","surface_area","DOC","TDN","pCO2_air_ppm","air_pressure_hpa_adjust","air_pressure_atm","water_pressure_atm","pCO2_w_atm","pCO2_air_atm","KH_mol.l.atm","KH_mol.m3.atm","Flux_mol_m2_d","k_m_d","Sc","K600"
"35",-78.19879954,-0.341940411,3931.936076,52,45.5,259.551666,NA,NA,259.551666,NA,NA,NA,-0.066691688,"COLM","Colmillo","COLM","COLM","COLM",80.2872,802872,0.802872,"7/7/21","EOS1","new",654.8261538,727.4525297,1.73,20.92997959,1.793664,98.66875255,7.832,6.872,626.0604,12.0982541,1.569,0.08167,416.45,653.27101488,0.644728385799719,0.61884143696732,0.00045017776880506,0.000268497136266293,0.0579942740569908,57.9942740569908,0.149472,14.1862005716517,1174.11658687172,19.8447705725379
"36",-78.19868222,-0.341540411,3935.450216,38,38.5,208.1086889,NA,NA,208.1086889,NA,NA,NA,-0.088883054,"COLM","Colmillo","COLM","COLM","COLM",80.2476,802476,0.802476,"7/7/21","EOS2","old",561,840.9457288,2.47,25.65768138,2.560896,71.14315183,7.832,6.872,626.0604,10.38772525,1.505,0.06122,416.45,652.84931808,0.644312203402263,0.61884143696732,0.000520412063222122,0.000268323817106873,0.0579942740569908,57.9942740569908,0.213408,14.5973150877801,1174.11658687172,20.4198698184848
"37",-78.19860447,-0.342140411,3930.637613,43,64.5,290.942333,NA,NA,290.942333,NA,NA,NA,-0.045691208,"COLM","Colmillo","COLM","COLM","COLM",105.3261,1053261,1.053261,"7/7/21","EOS2","old",674.4615385,1011.31155,0.625,21.90152695,0.648,120.5702795,7.882,6.872,625.9294,35.04244312,NA,NA,416.45,653.29583044,0.644752876854085,0.61871215001502,0.000625710743435522,0.000268507335565884,0.057906209300122,57.906209300122,0.054,2.61067632326303,1170.5776147574,3.6465108713304
"38",-78.19852276,-0.344560411,3922.707348,30,25.5,654.3711052,NA,NA,654.3711052,NA,NA,NA,-0.024863958,"COLM","Colmillo","COLM","COLM","COLM",174.3336,1743336,1.743336,"7/7/21","EOS2","old",877.7692308,1318.547174,4.315,375.287493,4.473792,987.2344297,8.382,6.882,625.6834,86.97276779,NA,NA,416.45,654.00146224,0.645449281318726,0.61846936688322,0.000815481035909439,0.000268797353205184,0.057034576534321,57.034576534321,0.372816,11.9569444005277,1135.89872726497,16.4518367374974
"39",-78.19826536,-0.343890411,3925.455883,56.5,46,555.0581202,NA,NA,555.0581202,NA,NA,NA,-0.032702973,"COLM","Colmillo","COLM","COLM","COLM",171.0621,1710621,1.710621,"7/7/21","EOS2","old",811.6153846,1218.528675,1.95,46.45760715,2.02176,559.7518378,8.182,6.877,625.5754,23.82441392,NA,NA,416.45,653.56363804,0.645017182414442,0.61836277916682,0.000753492777967463,0.000268617405616495,0.0573812728306668,57.3812728306668,0.16848,6.0554726952704,1149.61651417291,8.38202442252524
"40",-78.19821968,-0.344100411,3924.651575,70,75,580.5325716,NA,NA,580.5325716,NA,NA,NA,-0.030480825,"COLM","Colmillo","COLM","COLM","COLM",172.3824,1723824,1.723824,"7/7/21","EOS1","new",1181.890769,1313.90785,1.185,36.55686787,1.228608,596.3087056,8.232,6.879,625.5334,30.84967753,NA,NA,416.45,653.618155,0.645070986472512,0.61832132838822,0.00081241724719171,0.000268639812316477,0.0572943554060794,57.2943554060794,0.102384,3.28623845499168,1146.16801105798,4.54200481069533
"41",-78.19818622,-0.344320411,3923.856088,87.5,71,607.8024248,NA,NA,607.8024248,NA,NA,NA,-0.029763768,"COLM","Colmillo","COLM","COLM","COLM",173.1636,1731636,1.731636,"7/7/21","EOS2","old",892.3846154,1340.152269,1.23,15.63823108,1.275264,611.9469367,8.282,6.881,625.6254,12.71400901,NA,NA,416.45,653.80561344,0.645255993574729,0.61841212533182,0.000828766412940551,0.000268716858524196,0.0572076004522085,57.2076004522085,0.106272,3.31694802225737,1142.73224341791,4.5775730294397
"42",-78.19807751,-0.343660411,3926.42748,60.5,61,522.1127788,NA,NA,522.1127788,NA,NA,NA,-0.038067721,"COLM","Colmillo","COLM","COLM","COLM",169.7769,1697769,1.697769,"7/7/21","EOS1","new",917.3723077,1019.784908,2.105,47.71586985,2.182464,513.2942306,8.182,6.877,625.5754,22.66787166,NA,NA,416.45,653.4470464,0.644902115408341,0.61836277916682,0.00063059702986326,0.000268569485961804,0.0573812728306668,57.3812728306668,0.181872,8.75495768145555,1149.61651417291,12.1186689787986
"43",-78.19791545,-0.343410411,3927.779235,31.5,24,488.8557894,NA,NA,488.8557894,NA,NA,NA,-0.023229651,"COLM","Colmillo","COLM","COLM","COLM",169.7688,1697688,1.697688,"7/7/21","EOS2","old",833.1538462,1250.423056,2.31,55.22378311,2.395008,465.5783608,8.082,6.875,625.6154,23.90639962,NA,NA,416.45,653.3248358,0.644781502919694,0.61840225609882,0.000773264438908381,0.000268519256890907,0.0575555965196221,57.5555965196221,0.199584,6.87014622658746,1156.55191475728,9.53834269151329
"44",-78.19784387,-0.342620411,3929.160172,105,50.5,391.5225427,NA,NA,391.5225427,NA,NA,NA,-0.000882555,"COLM","Colmillo","COLM","COLM","COLM",166.113,1661130,1.66113,"7/7/21","EOS2","old",848.5384615,1273.369103,2.45,267.577282,2.54016,388.1475615,8.0325,6.873,625.5694,109.2152171,NA,NA,416.45,653.11312336,0.644572558979758,0.61835685762702,0.000787396517130417,0.00026843224218712,0.0576421286195123,57.6421286195123,0.21168,7.07623674326344,1160.00397264366,9.83912475789674
"45",-78.19773368,-0.342970411,3928.951287,130,74.5,432.8403863,NA,NA,432.8403863,NA,NA,NA,-0.004509095,"COLM","Colmillo","COLM","COLM","COLM",166.4082,1664082,1.664082,"7/7/21","EOS1","new",949.4507692,1055.136888,0.485,22.20701619,0.502848,410.3545777,7.983,6.872,625.7914,45.78766225,NA,NA,416.45,653.36018956,0.644816394369181,0.61857595459962,0.000652682307727872,0.000268533787435045,0.0577288213570224,57.7288213570224,0.041904,1.88957278709922,1163.46869681173,2.63126962371883
"46",NA,NA,NA,105,58,NA,NA,NA,NA,NA,NA,NA,NA,"COLM","Colmillo","COLM","COLM","COLM",NA,NA,NA,"7/7/21","EOS1","new",NA,NA,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,416.45,NA,NA,NA,NA,NA,NA,NA,0.179712,NA,NA,NA
"47",-78.19957917,-0.340520411,3946.810428,53.5,27,51.02666786,NA,NA,51.02666786,NA,NA,NA,-0.036774976,"COLM","Colmillo","COLM","COLM","COLM",53.4267,534267,0.534267,"7/9/21","EOS1",NA,NA,NA,0.175,4.431923785,0.18144,-8.524839015,NA,NA,NA,25.32527877,2.824,0.1087,416.45,NA,NA,NA,NA,NA,NA,NA,0.01512,NA,NA,NA
"48",-78.19950772,-0.340090411,3948.605975,47.5,39,1.463504132,NA,NA,1.463504132,NA,NA,NA,-0.028262695,"COLM","Colmillo","COLM","COLM","COLM",50.5062,505062,0.505062,"7/9/21","EOS2","old",468.6923077,701.356737,-0.665,-12.9567628,-0.689472,-12.9567628,7.28,6.932,626.0484,19.48385383,2.753,0.1637,416.45,651.258627,0.642742313312309,0.61882959388772,0.000434020304728126,0.000267670036378911,0.0589775796157716,58.9775796157716,-0.057456,-5.85632184881124,1214.06909565242,-8.33049893804115
