"","lon_fit","lat_fit","ele_fit","width","depth","dist","dist_ANTE","dist_GAVI","dist_COLM","dist_GAVItrib1","dist_GAVItrib2","dist_GAVItrib3","slope50m","Wetland","Wetland_2","Wetland_3","Wetland_4","Wetland_5","CatchmentSize_ha","CatchmentSize_m2","CatchmentSize_km2","Date","EOS_no","VaisalaType","CO2_ppm_ave","adjusted_ppm","Flux_ave","flux_umolpers","Flux_gCO2asCperM2perDay","Totalflux_umolpers","WaterTemp_c","AirTemp_c","Total_hPa","air_pressure_atm","VaporPressure_atm","KH_mol.L.atm","k_m.d","Sc","K600.effective","surface_area","DOC","TDN"
"50",-78.19907918,-0.341160411,3940.952225,69,34.5,145.2527314,NA,NA,145.2527314,NA,NA,NA,-0.072480196,"COLM","Colmillo","COLM","COLM","COLM",78.12,781200,0.7812,"7/9/21","EOS1",NA,NA,NA,1.25,47.93761597,1.296,44.28230104,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.35009278,NA,NA
"51",-78.19879791,-0.341780411,3933.003971,68.5,29,240.2440575,NA,NA,240.2440575,NA,NA,NA,-0.07823706,"COLM","Colmillo","COLM","COLM","COLM",80.2764,802764,0.802764,"7/9/21","EOS1",NA,NA,NA,0.505,6.595621136,0.523584,77.73877297,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.06063591,NA,NA
"52",-78.19878283,-0.341450411,3936.665451,NA,NA,193.670567,NA,NA,193.670567,NA,NA,NA,-0.08775172,"COLM","Colmillo","COLM","COLM","COLM",79.4763,794763,0.794763,"7/9/21","EOS2","old",509.4615385,761.8216451,0.075,1.203169417,0.07776,45.48547045,7.129,6.925,626.2944,0.618104536,0.009960674,0.058475325,3.305188943,1229.598303,4.731537577,16.0422589,NA,NA
"53",-78.20227,-0.3304933,4073.206,40.5,3.5,238.1902,NA,NA,NA,238.1902,NA,NA,-0.04497947,"GAVItrib1","Gavilan Tributaries","Gavilan River Network","GAVItrib1","GavilanTribs",1.4985,14985,0.014985,"6/23/21","EOS1","old",3367.385,5068.857,1.335,NA,1.384128,NA,9.54925,6.754,627.3704,0.619166465,0.00984435,0.054341926,8.027731431,1062.102921,10.68071954,NA,3.446,0.1113
"54",-78.20218,-0.3301748,4075.106,23,7,199.872,NA,NA,NA,199.872,NA,NA,-0.04555216,"GAVItrib1","Gavilan Tributaries","Gavilan River Network","GAVItrib1","GavilanTribs",1.2771,12771,0.012771,"6/23/21","EOS1","old",1551.462,2334.253,0.68,NA,0.705024,NA,9.3875,6.754,627.3444,0.619140805,0.00984435,0.054606682,9.241780476,1072.429103,12.35561362,NA,NA,NA
"55",-78.20203,-0.3299719,4075.916,10,2,171.9825,NA,NA,NA,171.9825,NA,NA,-0.07761806,"GAVItrib1","Gavilan Tributaries","Gavilan River Network","GAVItrib1","GavilanTribs",1.2708,12708,0.012708,"6/23/21","EOS1","old",1606.462,2415.417,1.34,NA,1.389312,NA,9.226,6.755,627.5004,0.619294766,0.009845027,0.054872621,17.36690025,1082.858823,23.33095974,NA,NA,NA
"56",-78.20194027,-0.329460713,4080.116025,91.5,5.1,110.8084104,NA,NA,NA,110.8084104,NA,NA,-0.217263559,"GAVItrib1","Gavilan Tributaries","Gavilan River Network","GAVItrib1","GavilanTribs",1.2285,12285,0.012285,"6/23/21","EOS1","old",3024.461538,4538.995188,1.015,NA,1.052352,NA,8.67125,6.753,627.6234,0.619416157,0.009843673,0.055798386,6.48866355,1119.60868,8.863653269,NA,3.651,0.2276
"57",-78.20193958,-0.329581213,4079.741435,27,1,124.3400115,NA,NA,NA,124.3400115,NA,NA,-0.167415614,"GAVItrib1","Gavilan Tributaries","Gavilan River Network","GAVItrib1","GavilanTribs",1.233,12330,0.01233,"6/23/21","EOS1","old",1282.230769,1924.716274,0.585,NA,0.606528,NA,8.7735,6.754,627.7474,0.619538536,0.00984435,0.055626309,9.463947066,1112.726286,12.88815798,NA,NA,NA
"58",-78.20192275,-0.329803013,4077.422521,11.5,1.75,149.4211764,NA,NA,NA,149.4211764,NA,NA,-0.069212205,"GAVItrib1","Gavilan Tributaries","Gavilan River Network","GAVItrib1","GavilanTribs",1.2663,12663,0.012663,"6/23/21","EOS1","old",1740.538462,2613.968845,0.82,NA,0.850176,NA,8.904,6.754,627.6564,0.619448726,0.00984435,0.055407642,9.557940214,1104.014202,12.96510429,NA,NA,NA
"59",-78.20184918,-0.329317413,4082.058608,16.5,5.75,91.6882921,NA,NA,NA,91.6882921,NA,NA,-0.243600852,"GAVItrib1","Gavilan Tributaries","Gavilan River Network","GAVItrib1","GavilanTribs",1.2231,12231,0.012231,"6/23/21","EOS1","old",1264.25,1895.811472,0.93,NA,0.964224,NA,8.46625,6.751,627.7894,0.619579986,0.00984232,0.056145364,15.00378923,1133.557159,20.62277205,NA,NA,NA
