"","x_pred","x","d","w","ele_arcpro","dist_diff","slope_mid","slope_up","catchment_ha","site"
"124",156.957704,160,31,96,3942.849854,10,0.027687849,0,79.2963,"Colm"
"125",166.3220104,170,25,100,3942.331299,10,0.15980468,0.027687849,79.2981,"Colm"
"126",175.6863169,180,24,65,3939.856934,10,0.295284762,0.15980468,79.2999,"Colm"
"127",177.5591782,182,NA,NA,3939.856934,NA,NA,NA,79.2999,"Colm"
"128",185.0506233,190,30,60,3936.801025,10,0.293172966,0.295284762,79.3206,"Colm"
"129",188.7963459,194,NA,NA,3934.958008,NA,NA,NA,79.3323,"Colm"
"130",194.4149298,200,35,44,3934.366211,10,0.128317651,0.293172966,79.4538,"Colm"
"131",204.0255187,210,42,32,3934.366211,10,0,0.128317651,79.5384,"Colm"
"132",209.7918721,216,NA,NA,3934.366211,NA,NA,NA,79.5861,"Colm"
"133",213.6361076,220,27,48,3934.366211,10,0.003848619,0,79.8822,"Colm"
"134",223.2466966,230,27,30,3934.292236,10,0.020970411,0.003848619,80.2377,"Colm"
"135",232.8572855,240,20,77,3933.963135,10,0.037482563,0.020970411,80.2476,"Colm"
"136",242.4678744,NA,NA,NA,3933.571777,NA,NA,NA,80.2764,"Colm"
"137",242.4678744,250,38,60,3933.571777,10,0.032895729,0.037482563,80.2764,"Colm"
"138",252.4578848,260,53,44,3933.318359,10,0.039455915,0.032895729,80.2917,"Colm"
"139",255.4548879,263,NA,NA,3933.21582,NA,NA,NA,80.2935,"Colm"
"140",261.4942155,NA,NA,NA,3932.940918,NA,NA,NA,80.4258,"Colm"
"141",262.4478952,270,17,15,3932.783447,10,0.044294699,0.039455915,80.442,"Colm"
"142",272.4379056,280,35,60,3932.43335,10,0.050709807,0.044294699,80.6544,"Colm"
"143",278.4319119,286,NA,NA,3932.022461,NA,NA,NA,80.667,"Colm"
"144",282.427916,290,100,40,3931.770264,10,0.046530882,0.050709807,104.8662,"Colm"
"145",292.4179264,300,29,46,3931.503662,10,0.016998834,0.046530882,105.3261,"Colm"
"146",293.4856495,301,NA,NA,3931.503662,NA,NA,NA,105.3261,"Colm"
"147",303.0951569,310,72,62,3931.418945,10,0.01011798,0.016998834,105.4584,"Colm"
"148",313.7723873,320,96,64,3931.287598,10,0.02801026,0.01011798,105.5313,"Colm"
"149",324.4496177,330,51,30,3930.820801,10,0.057907011,0.02801026,105.5628,"Colm"
"150",332.9914021,338,NA,NA,3930.222168,NA,NA,NA,105.5727,"Colm"
"151",335.1268482,340,42,80,3930.051025,10,0.048051927,0.057907011,105.6339,"Colm"
"152",345.8040786,350,107,50,3929.794678,10,0.018756303,0.048051927,106.1244,"Colm"
"153",355.3804133,360,80,30,3929.671143,10,0.018756303,0.018756303,106.2558,"Colm"
