"","lon_fit","lat_fit","dist","x_pred","w","d","notes","midpoint","length","area"
"113",-78.1986201429129,-0.34465041087091,668.731196744838,1092,140,18,"syn 5",668.731196744838,0,0
"114",-78.1986201429129,-0.34465041087091,668.731196744838,1100,138,11,"",668.731196744838,0,0
"115",-78.1986201429129,-0.34465041087091,668.731196744838,1109,88,18,"syn4 ",668.731196744838,0,0
"116",-78.1986201429129,-0.34465041087091,668.731196744838,1110,104,22,"",668.731196744838,0,0
"117",-78.1986201429129,-0.34465041087091,668.731196744838,1120,121,19,"",668.731196744838,0,0
"118",-78.1986201429129,-0.34465041087091,668.731196744838,1130,60,7,"",668.731196744838,0,0
"119",-78.1986201429129,-0.34465041087091,668.731196744838,1140,60,10,"",668.731196744838,0,0
"120",-78.1986201429129,-0.34465041087091,668.731196744838,1150,83,13,"",668.731196744838,0,0
"121",-78.1986201429129,-0.34465041087091,668.731196744838,1156,58,31,"syn 3",668.731196744838,0,0
"122",-78.1986201429129,-0.34465041087091,668.731196744838,1160,122,33,"",668.731196744838,0,0
"123",-78.1986201429129,-0.34465041087091,668.731196744838,1170,87,48,"",668.731196744838,0,0
"124",-78.1986201429129,-0.34465041087091,668.731196744838,1180,105,65,"",668.731196744838,0,0
"125",-78.1986201429129,-0.34465041087091,668.731196744838,1190,142,43,"",668.731196744838,0,0
"126",-78.1986201429129,-0.34465041087091,668.731196744838,1200,181,31,"",668.731196744838,0,0
"127",-78.1986201429129,-0.34465041087091,668.731196744838,1210,91,17,"syn 2",668.731196744838,0,0
"128",-78.1986201429129,-0.34465041087091,668.731196744838,1220,80,70,"",668.731196744838,0,0
"129",-78.1986201429129,-0.34465041087091,668.731196744838,1230,98,100,"",668.731196744838,0,0
"130",-78.1986201429129,-0.34465041087091,668.731196744838,1240,78,44,"",668.731196744838,0,0
"131",-78.1986201429129,-0.34465041087091,668.731196744838,1250,170,30,"Station 5",668.731196744838,0,0
"132",-78.1986201429129,-0.34465041087091,668.731196744838,1260,102,54,"",668.731196744838,0,0
"133",-78.1986201429129,-0.34465041087091,668.731196744838,1267,100,25,"syn 1",668.731196744838,0,0
"134",-78.1986201429129,-0.34465041087091,668.731196744838,1270,40,78,"",668.731196744838,0,0
"135",-78.1986201429129,-0.34465041087091,668.731196744838,1280,80,43,"",668.731196744838,0,0
"136",-78.1986201429129,-0.34465041087091,668.731196744838,1290,93,51,"",668.731196744838,0,0
"137",-78.1986201429129,-0.34465041087091,668.731196744838,1300,90,52,"",668.731196744838,0,0
"138",-78.1986201429129,-0.34465041087091,668.731196744838,1310,125,25,"",668.731196744838,0,0
"139",-78.1986201429129,-0.34465041087091,668.731196744838,1320,250,120,"",668.731196744838,0,0
"140",-78.1986201429129,-0.34465041087091,668.731196744838,1330,145,35,"",668.731196744838,0,0
"141",-78.1986201429129,-0.34465041087091,668.731196744838,1340,93,62,"",668.731196744838,0,0
"142",-78.1986201429129,-0.34465041087091,668.731196744838,1350,105,58,"Stream with intermittent waterfalls 20 cm high",668.731196744838,NA,NA
