"","lat_fit","lon_fit","lon_dist","lat_dist","dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","adjusted_ppm","ele_fit"
"2559",-0.329142,-78.2007387891446,-78.200739397943,-0.329143,470.365376961109,NA,NA,NA,NA,NA,NA,NA,NA,NA,4092.84196660956
"2560",-0.329141,-78.2007381812857,-78.2007387891446,-0.329142,470.49564836309,NA,NA,NA,NA,NA,NA,NA,NA,NA,4092.86372198576
"2561",-0.32914,-78.2007375743694,-78.2007381812857,-0.329141,470.625865300864,NA,NA,NA,NA,NA,NA,NA,NA,NA,4092.88554814052
"2562",-0.329139,-78.2007369683984,-78.2007375743694,-0.32914,470.756027669592,NA,NA,NA,NA,NA,NA,NA,NA,NA,4092.9074394341
"2563",-0.329138,-78.2007363633757,-78.2007369683984,-0.329139,470.886135364369,NA,NA,NA,NA,NA,NA,NA,NA,NA,4092.9293902404
"2564",-0.329137,-78.2007357593041,-78.2007363633757,-0.329138,471.016188283124,NA,NA,NA,NA,NA,NA,NA,NA,NA,4092.95139494755
"2565",-0.329136,-78.2007351561866,-78.2007357593041,-0.329137,471.14618632153,-0.329142333939672,-78.200725754723,4095.35,2021-12-18 11:26:00,NA,NA,NA,NA,NA,4092.97344795702
"2566",-0.329135,-78.200734554026,-78.2007351561866,-0.329136,471.276129377363,NA,NA,NA,NA,NA,NA,NA,NA,NA,4092.99554368443
"2567",-0.329134,-78.2007339528254,-78.200734554026,-0.329135,471.406017343971,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.01767655846
"2568",-0.329133,-78.2007333525875,-78.2007339528254,-0.329134,471.535850122657,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.03984102298
"2569",-0.329132,-78.2007327533153,-78.2007333525875,-0.329133,471.665627611031,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.06203153508
"2570",-0.329131,-78.2007321550118,-78.2007327533153,-0.329132,471.795349703731,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.08424256526
"2571",-0.32913,-78.2007315576798,-78.2007321550118,-0.329131,471.925016301917,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.10646859905
"2572",-0.329129,-78.2007309613224,-78.2007315576798,-0.32913,472.054627301605,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.12870413505
"2573",-0.329128,-78.2007303659424,-78.2007309613224,-0.329129,472.184182608227,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.15094368744
"2574",-0.329127,-78.2007297715429,-78.2007303659424,-0.329128,472.313682116291,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.17318178257
"2575",-0.329126,-78.2007291781267,-78.2007297715429,-0.329127,472.443125726105,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.19541296179
"2576",-0.329125,-78.2007285856969,-78.2007291781267,-0.329126,472.572513340825,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.21763178102
"2577",-0.329124,-78.2007279942563,-78.2007285856969,-0.329125,472.701844858562,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.23983280938
"2578",-0.329123,-78.200727403808,-78.2007279942563,-0.329124,472.831120181731,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.26201063086
"2579",-0.329122,-78.200726814355,-78.200727403808,-0.329123,472.960339213482,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.28415984371
"2580",-0.329121,-78.2007262259002,-78.200726814355,-0.329122,473.089501853356,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.30627505974
"2581",-0.32912,-78.2007256384466,-78.2007262259002,-0.329121,473.218608008106,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.32835090616
"2582",-0.329119,-78.2007250519972,-78.2007256384466,-0.32912,473.347657575867,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.35038202294
"2583",-0.329118,-78.2007244665549,-78.2007250519972,-0.329119,473.476650464146,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.37236306589
"2584",-0.329117,-78.2007238821229,-78.2007244665549,-0.329118,473.605586575446,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.39428870422
"2585",-0.329116,-78.200723298704,-78.2007238821229,-0.329117,473.734465816581,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.41615362218
"2586",-0.329115,-78.2007227163014,-78.200723298704,-0.329116,473.863288089428,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.43795251746
"2587",-0.329114,-78.2007221349179,-78.2007227163014,-0.329115,473.992053300883,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.45968010297
"2588",-0.329113,-78.2007215545567,-78.2007221349179,-0.329114,474.120761359329,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.48133110619
"2589",-0.329112,-78.2007209752207,-78.2007215545567,-0.329113,474.249412169627,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.50290026842
"2590",-0.329111,-78.2007203969129,-78.2007209752207,-0.329112,474.378005639563,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.52438234582
"2591",-0.32911,-78.2007198196365,-78.2007203969129,-0.329111,474.50654167697,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.545772109
"2592",-0.329109,-78.2007192433943,-78.2007198196365,-0.32911,474.635020190476,-0.329115176573396,-78.2007079850882,4095.83,2021-12-18 11:26:00,NA,NA,NA,NA,NA,4093.56706434312
"2593",-0.329108,-78.2007186681896,-78.2007192433943,-0.329109,474.76344108736,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.58825384759
"2594",-0.329107,-78.2007180940252,-78.2007186681896,-0.329108,474.891804281354,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.60933543736
"2595",-0.329106,-78.2007175209042,-78.2007180940252,-0.329107,475.020109680614,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.63030394097
"2596",-0.329105,-78.2007169488297,-78.2007175209042,-0.329106,475.148357196227,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.65115420195
"2597",-0.329104,-78.2007163778047,-78.2007169488297,-0.329105,475.276546740771,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.6718810786
"2598",-0.329103,-78.2007158078323,-78.2007163778047,-0.329104,475.404678222032,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.69247944301
"2599",-0.329102,-78.2007152389155,-78.2007158078323,-0.329103,475.532751558412,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.71294418356
"2600",-0.329101,-78.2007146710574,-78.2007152389155,-0.329102,475.66076665864,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.73327020164
"2601",-0.3291,-78.200714104261,-78.2007146710574,-0.329101,475.788723439246,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.75345241451
