,lon_fit,lat_fit,lon_dist,lat_dist,dist_old,dist,lon,lat,ele,time,lat_wypt,lon_wypt,ele_wypt,Date,EOS_no,Flux_ave,Tract,Point,CO2_ppm_ave,adjusted_ppm,DOC,TDN,ele_fit
414,-78.19408785,-0.314714413,-78.19406974,-0.314724413,451.5164789,4.757360517,-78.19410497,-0.314729819,4266.95,7/12/2021 10:47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4268.840376
415,-78.19408785,-0.314714413,-78.19406974,-0.314724413,451.5164789,4.757360517,-78.19410799,-0.314748008,4268.87,7/12/2021 10:47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4268.840376
416,-78.19410648,-0.314704413,-78.19408785,-0.314714413,453.8696435,2.404195897,-78.19410992,-0.314703416,4268.39,7/12/2021 10:43,NA,NA,NA,7/6/2021,EOS2,0.075,1,10,375.6666667,565.4394892,3.413,0.1029,4268.903999
417,-78.19410648,-0.314704413,-78.19408785,-0.314714413,453.8696435,2.404195897,-78.19410992,-0.314703416,4268.39,7/12/2021 10:43,NA,NA,NA,7/6/2021,EOS1,1.075,1,5,439.2783333,660.8729101,3.958,0.09001,4268.903999
418,-78.19410648,-0.314704413,-78.19408785,-0.314714413,453.8696435,2.404195897,-78.19411176,-0.314702913,4270.31,7/12/2021 10:44,NA,NA,NA,7/6/2021,EOS2,0.075,1,10,375.6666667,565.4394892,3.413,0.1029,4268.903999
419,-78.19410648,-0.314704413,-78.19408785,-0.314714413,453.8696435,2.404195897,-78.19411176,-0.314702913,4270.31,7/12/2021 10:44,NA,NA,NA,7/6/2021,EOS1,1.075,1,5,439.2783333,660.8729101,3.958,0.09001,4268.903999
420,-78.19410648,-0.314704413,-78.19408785,-0.314714413,453.8696435,2.404195897,-78.19410992,-0.31470174,4266.95,7/12/2021 10:45,NA,NA,NA,7/6/2021,EOS2,0.075,1,10,375.6666667,565.4394892,3.413,0.1029,4268.903999
421,-78.19410648,-0.314704413,-78.19408785,-0.314714413,453.8696435,2.404195897,-78.19410992,-0.31470174,4266.95,7/12/2021 10:45,NA,NA,NA,7/6/2021,EOS1,1.075,1,5,439.2783333,660.8729101,3.958,0.09001,4268.903999
422,-78.19412562,-0.314694413,-78.19410648,-0.314704413,456.2738394,0,-78.19414118,-0.314712804,4273.2,7/12/2021 10:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269.019995
423,-78.19412562,-0.314694413,-78.19410648,-0.314704413,456.2738394,0,-78.19414387,-0.31468967,4269.35,7/12/2021 10:40,-0.314690005,-78.19414403,4269.284668,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269.019995
424,-78.19412562,-0.314694413,-78.19410648,-0.314704413,456.2738394,0,-78.1941318,-0.314701488,4270.31,7/12/2021 10:40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269.019995
425,-78.19412562,-0.314694413,-78.19410648,-0.314704413,456.2738394,0,-78.19411872,-0.314698052,4268.87,7/12/2021 10:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269.019995
426,-78.19412562,-0.314694413,-78.19410648,-0.314704413,456.2738394,0,-78.19413926,-0.314685144,4271.76,7/12/2021 10:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269.019995
427,-78.19412562,-0.314694413,-78.19410648,-0.314704413,456.2738394,0,-78.1941359,-0.314708278,4270.79,7/12/2021 10:44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269.019995
428,-78.19412562,-0.314694413,-78.19410648,-0.314704413,456.2738394,0,-78.19411788,-0.314693777,4268.39,7/12/2021 10:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269.019995
429,-78.19412562,-0.314694413,-78.19410648,-0.314704413,456.2738394,0,-78.19414797,-0.314700985,4266.95,7/12/2021 10:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269.019995
430,-78.19412562,-0.314694413,-78.19410648,-0.314704413,456.2738394,0,-78.1941328,-0.314704841,4271.27,7/12/2021 10:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269.019995
