"","lat_fit","lon_fit","lon_dist","lat_dist","dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","ele_fit","slope","ante_slope"
"5639",-0.331113772898483,-78.2031795446995,-78.2031795508758,-0.331113872898483,50.7173545529703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.61024402717,0.111763691608014,0.12426689239052
"5640",-0.331113672898483,-78.2031795385222,-78.2031795446995,-0.331113772898483,50.7285077197192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.61149518802,0.111800286505831,0.124282886636785
"5641",-0.331113572898483,-78.2031795323441,-78.2031795385222,-0.331113672898483,50.7396608929354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.61274689546,0.111836853917724,0.12429880722568
"5642",-0.331113472898483,-78.203179526165,-78.2031795323441,-0.331113572898483,50.7508140727835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.61399914869,0.111873393768917,0.124314654157235
"5643",-0.331113372898483,-78.203179519985,-78.203179526165,-0.331113472898483,50.7619672588333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.61525194685,0.111909905984073,0.124330427430662
"5644",-0.331113272898483,-78.203179513804,-78.203179519985,-0.331113372898483,50.773120451517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.61650528916,0.111946390488072,0.124346127046225
"5645",-0.331113172898483,-78.2031795076221,-78.203179513804,-0.331113272898483,50.7842736504152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.61775917476,0.111982847206029,0.12436175300323
"5646",-0.331113072898483,-78.2031795014392,-78.2031795076221,-0.331113172898483,50.7954268559493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.61901360287,0.112019276062447,0.124377305302154
"5647",-0.331112972898483,-78.2031794952554,-78.2031795014392,-0.331113072898483,50.8065800680385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.62026857267,0.112055676982284,0.124392783942339
"5648",-0.331112872898483,-78.2031794890707,-78.2031794952554,-0.331112972898483,50.8177332863395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.62152408329,0.112092049889867,0.124408188923527
"5649",-0.331112772898483,-78.203179482885,-78.2031794890707,-0.331112872898483,50.828886511192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.62278013395,0.112128394711569,0.124423520245685
"5650",-0.331112672898483,-78.2031794766984,-78.203179482885,-0.331112772898483,50.8400397426026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.62403672384,0.112164711371455,0.124438777908461
"5651",-0.331112572898483,-78.2031794705108,-78.2031794766984,-0.331112672898483,50.8511929803972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.62529385212,0.112200999793804,0.12445396191187
"5652",-0.331112472898483,-78.2031794643223,-78.2031794705108,-0.331112572898483,50.8623462249323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.62655151799,0.112237259903834,0.124469072255738
"5653",-0.331112372898483,-78.2031794581329,-78.2031794643223,-0.331112472898483,50.8734994757604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.62780972061,0.112273491627208,0.124484108939619
"5654",-0.331112272898483,-78.2031794519425,-78.2031794581329,-0.331112372898483,50.8846527331505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.62906845916,0.112309694887591,0.124499071963169
"5655",-0.331112172898483,-78.2031794457511,-78.2031794519425,-0.331112272898483,50.8958059970216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.63032773284,0.112345869610821,0.124513961326535
"5656",-0.331112072898483,-78.2031794395588,-78.2031794457511,-0.331112172898483,50.9069592674512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.63158754081,0.112382015721381,0.124528777029333
"5657",-0.331111972898483,-78.2031794333656,-78.2031794395588,-0.331112072898483,50.9181125445334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.63284788229,0.112418133143787,0.124543519071752
"5658",-0.331111872898483,-78.2031794271713,-78.2031794333656,-0.331111972898483,50.9292658280995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.63410875642,0.112454221803347,0.124558187452905
"5659",-0.331111772898483,-78.2031794209762,-78.2031794271713,-0.331111872898483,50.9404191181396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.63537016238,0.112490281624863,0.124572782173012
"5660",-0.331111672898483,-78.2031794147801,-78.2031794209762,-0.331111772898483,50.9515724148353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.63663209938,0.112526312533365,0.12458730323173
"5661",-0.331111572898483,-78.203179408583,-78.2031794147801,-0.331111672898483,50.9627257181876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.63789456659,0.112562314453349,0.124601750629088
"5662",-0.331111472898483,-78.203179402385,-78.203179408583,-0.331111572898483,50.9738790279402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.63915756317,0.112598287310101,0.124616124364382
"5663",-0.331111372898483,-78.203179396186,-78.203179402385,-0.331111472898483,50.9850323444281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.64042108833,0.112634231027898,0.124630424437979
"5664",-0.331111272898483,-78.2031793899861,-78.203179396186,-0.331111372898483,50.996185667406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.64168514123,0.112670145532264,0.124644650849221
"5665",-0.331111172898483,-78.2031793837852,-78.2031793899861,-0.331111272898483,51.0073389970501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.64294972107,0.112706030747552,0.124658803598169
"5666",-0.331111072898483,-78.2031793775833,-78.2031793837852,-0.331111172898483,51.0184923332627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.64421482701,0.112741886598963,0.124672882684455
"5667",-0.331110972898483,-78.2031793713805,-78.2031793775833,-0.331111072898483,51.0296456760505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.64548045824,0.112777713011161,0.124686888107869
"5668",-0.331110872898483,-78.2031793651767,-78.2031793713805,-0.331110972898483,51.0407990255897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.64674661395,0.112813509909401,0.124700819868395
"5669",-0.331110772898483,-78.203179358972,-78.2031793651767,-0.331110872898483,51.0519523817993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.64801329332,0.112849277217849,0.124714677965722
"5670",-0.331110672898483,-78.2031793527663,-78.203179358972,-0.331110772898483,51.0631057445815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.64928049552,0.112885014862194,0.124728462399483
