"","lat_fit","lon_fit","ele_fit","dist","Date","Point","Flux_ave","CO2_ppm_ave","adjusted_ppm","DOC","TDN","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","VaisalaType","EOS_no"
"398",-0.331257993153572,-78.2032245483047,4065.654485224,472.918360369029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399",-0.331256993153572,-78.2032230994791,4065.66297222224,472.722392992357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400",-0.331255993153572,-78.2032216507765,4065.67152641387,472.526436881517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401",-0.331254993153572,-78.2032202022002,4065.68014848474,472.330492346221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402",-0.331253993153572,-78.2032187537537,4065.6888391198,472.134559699638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403",-0.331252993153572,-78.2032173054406,4065.69759900298,471.938639263079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404",-0.331251993153572,-78.2032158572642,4065.70642881724,471.742731362477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405",-0.331250993153572,-78.2032144092285,4065.71532924414,471.546836338896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406",-0.331249993153572,-78.2032129613371,4065.7243009643,471.350954536849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407",-0.331248993153572,-78.2032115135938,4065.73334465759,471.155086299667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408",-0.331247993153572,-78.2032100660026,4065.74246100215,470.95923199044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409",-0.331246993153572,-78.2032086185674,4065.75165067525,470.763391973399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410",-0.331245993153572,-78.2032071712923,4065.76091435293,470.567566619715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411",-0.331244993153572,-78.2032057241815,4065.77025271005,470.371756307523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412",-0.331243993153572,-78.2032042772391,4065.77966642032,470.175961419562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413",-0.331242993153572,-78.2032028304694,4065.78915615624,469.980182344372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
