dist,pCO2_ppm,Totalflux_umolpers,Wetland,Wetland_4,shape,Totalfux_gpers
267.3198198,1485.95789,118.0803977,Gavi-mainstem,Gavilan Outlet,shape,0.005195537
301.4128494,1715.493786,125.3546233,Gavi-mainstem,Gavilan Outlet,shape,0.005515603
324.6770263,605.5983241,127.4510311,Gavi-mainstem,Gavilan Outlet,shape,0.005607845
348.1327777,605.5399379,129.0668169,Gavi-mainstem,Gavilan Outlet,shape,0.00567894
372.6350279,583.1253581,136.4742148,Gavi-mainstem,Gavilan Outlet,shape,0.006004865
389.6972398,577.62168,145.0455459,Gavi-mainstem,Gavilan Outlet,shape,0.006382004
416.468702,537.6402185,149.423322,Gavi-mainstem,Gavilan Outlet,shape,0.006574626
438.9878823,567.7224979,152.2886464,Gavi-mainstem,Gavilan Outlet,shape,0.0067007
460.138964,466.8255368,167.2907413,Gavi-mainstem,Gavilan Outlet,shape,0.007360793
492.1164235,475.4753116,181.317385,Gavi-mainstem,Gavilan Outlet,shape,0.007977965
507.302923,443.9843501,181.4746719,Gavi-mainstem,Gavilan Outlet,shape,0.007984886
0,566.4882038,0,Gavi-mainstem,Gavilan Inlet,shape,0
11.07534717,1556.697444,6.807846875,Gavi-mainstem,Gavilan Inlet,shape,0.000299545
36.6251706,788.703259,14.68959332,Gavi-mainstem,Gavilan Inlet,shape,0.000646342
62.69859302,1111.944302,30.85264314,Gavi-mainstem,Gavilan Inlet,shape,0.001357516
86.18775907,619.022998,48.57111674,Gavi-mainstem,Gavilan Inlet,shape,0.002137129
101.8587353,1215.550548,51.93659225,Gavi-mainstem,Gavilan Inlet,shape,0.00228521
116.9020465,921.9810527,55.01176642,Gavi-mainstem,Gavilan Inlet,shape,0.002420518
134.4490996,544.0804486,57.69867476,Gavi-mainstem,Gavilan Inlet,shape,0.002538742
149.8009137,496.5489676,58.9165007,Gavi-mainstem,Gavilan Inlet,shape,0.002592326
168.4286543,NA,63.39134248,Gavi-mainstem,Gavilan Inlet,shape,0.002789219
177.2949778,924.8185183,66.93284244,Gavi-mainstem,Gavilan Inlet,shape,0.002945045
194.7673665,1407.279904,67.17646907,Gavi-mainstem,Gavilan Inlet,shape,0.002955765
214.6367373,789.0074568,67.17646907,Gavi-mainstem,Gavilan Inlet,shape,0.002955765
233.5977453,811.6096596,67.17646907,Gavi-mainstem,Gavilan Inlet,shape,0.002955765
0,11095.729,0,Tributary 1,Tributary 1,shape,0
12.78824951,11098.654,11.37356274,Tributary 1,Tributary 1,shape,0.000500437
33.95532217,7979.266913,16.03593136,Tributary 1,Tributary 1,shape,0.000705581
50.06598387,11206.38178,17.03852735,Tributary 1,Tributary 1,shape,0.000749695
65.84605433,3489.783353,18.59021878,Tributary 1,Tributary 1,shape,0.00081797
82.79128918,1895.811472,20.9448213,Tributary 1,Tributary 1,shape,0.000921572
101.2483513,4538.995188,28.97418294,Tributary 1,Tributary 1,shape,0.001274864
117.574211,1924.716274,36.94971302,Tributary 1,Tributary 1,shape,0.001625787
136.880594,2613.968845,39.19369172,Tributary 1,Tributary 1,shape,0.001724522
160.7018382,2415.417,43.57452323,Tributary 1,Tributary 1,shape,0.001917279
185.92725,2334.253,54.43311103,Tributary 1,Tributary 1,shape,0.002395057
219.0311,5068.857,64.49265102,Tributary 1,Tributary 1,shape,0.002837677
0,3573.983273,0,Tributary 2,Tributary 2,shape,0
9.236275605,2019.293163,4.433791265,Tributary 2,Tributary 2,shape,0.000195087
31.97387722,1460.886328,21.80289033,Tributary 2,Tributary 2,shape,0.000959327
60.85439554,1404.899821,41.02248519,Tributary 2,Tributary 2,shape,0.001804989
