Plot Title: Injection_july20,,,,,,,,
#,"Date Time, GMT-05:00","Low Range, ?S/cm (LGR S/N: 20974616, SEN S/N: 20974616)","Temp, °C (LGR S/N: 20974616, SEN S/N: 20974616)",Coupler Detached (LGR S/N: 20974616),Coupler Attached (LGR S/N: 20974616),Host Connected (LGR S/N: 20974616),Stopped (LGR S/N: 20974616),End Of File (LGR S/N: 20974616)
991,7/20/2021 14:13,22.9,9.11,,,,,
992,7/20/2021 14:13,22.9,9.11,,,,,
993,7/20/2021 14:13,22.9,9.11,,,,,
994,7/20/2021 14:13,23,9.11,,,,,
995,7/20/2021 14:14,23,9.11,,,,,
996,7/20/2021 14:14,23,9.12,,,,,
997,7/20/2021 14:14,23.1,9.12,,,,,
998,7/20/2021 14:14,23,9.12,,,,,
999,7/20/2021 14:14,23.1,9.12,,,,,
1000,7/20/2021 14:14,23.1,9.12,,,,,
1001,7/20/2021 14:15,23.1,9.14,,,,,
1002,7/20/2021 14:15,23.1,9.14,,,,,
1003,7/20/2021 14:15,23.2,9.14,,,,,
1004,7/20/2021 14:15,23.1,9.15,,,,,
1005,7/20/2021 14:15,23.1,9.14,,,,,
1006,7/20/2021 14:15,23.2,9.15,,,,,
1007,7/20/2021 14:16,23.1,9.14,,,,,
1008,7/20/2021 14:16,23.2,9.15,,,,,
1009,7/20/2021 14:16,23.1,9.14,,,,,
1010,7/20/2021 14:16,23.1,9.15,,,,,
1011,7/20/2021 14:16,23.1,9.15,,,,,
1012,7/20/2021 14:16,23.2,9.16,,,,,
1013,7/20/2021 14:17,23.2,9.15,,,,,
1014,7/20/2021 14:17,23.2,9.15,,,,,
1015,7/20/2021 14:17,23.2,9.16,,,,,
1016,7/20/2021 14:17,23.1,9.16,,,,,
1017,7/20/2021 14:17,22.9,9.16,,,,,
1018,7/20/2021 14:17,22.5,9.16,,,,,
1019,7/20/2021 14:18,21.6,9.17,,,,,
1020,7/20/2021 14:18,20.3,9.19,,,,,
1021,7/20/2021 14:18,18.6,9.19,,,,,
1022,7/20/2021 14:18,16.8,9.17,,,,,
1023,7/20/2021 14:18,15.4,9.19,,,,,
1024,7/20/2021 14:18,13.8,9.17,,,,,
1025,7/20/2021 14:19,12.5,9.19,,,,,
1026,7/20/2021 14:19,11.3,9.2,,,,,
1027,7/20/2021 14:19,10.6,9.2,,,,,
1028,7/20/2021 14:19,10.2,9.2,,,,,
1029,7/20/2021 14:19,9.7,9.2,,,,,
1030,7/20/2021 14:19,9.6,9.2,,,,,
1031,7/20/2021 14:20,9.6,9.21,,,,,
1032,7/20/2021 14:20,9.5,9.21,,,,,
1033,7/20/2021 14:20,9.3,9.21,,,,,
1034,7/20/2021 14:20,9,9.21,,,,,
1035,7/20/2021 14:20,8.7,9.22,,,,,
1036,7/20/2021 14:20,8.3,9.22,,,,,
1037,7/20/2021 14:21,8.2,9.22,,,,,
1038,7/20/2021 14:21,8,9.23,,,,,
1039,7/20/2021 14:21,7.8,9.23,,,,,
1040,7/20/2021 14:21,7.6,9.23,,,,,
1041,7/20/2021 14:21,7.4,9.23,,,,,
1042,7/20/2021 14:21,7.4,9.23,,,,,
1043,7/20/2021 14:22,7.3,9.25,,,,,
1044,7/20/2021 14:22,7.3,9.25,,,,,
1045,7/20/2021 14:22,7.3,9.25,,,,,
1046,7/20/2021 14:22,7.3,9.25,,,,,
1047,7/20/2021 14:22,7.2,9.23,,,,,
