"Plot Title: Injection_july20"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20974616, SEN S/N: 20974616)","Temp, °C (LGR S/N: 20974616, SEN S/N: 20974616)","Coupler Detached (LGR S/N: 20974616)","Coupler Attached (LGR S/N: 20974616)","Host Connected (LGR S/N: 20974616)","Stopped (LGR S/N: 20974616)","End Of File (LGR S/N: 20974616)"
245,07/20/21 12:09:00 PM,1.8,10.56,,,,,
246,07/20/21 12:09:10 PM,1.9,10.56,,,,,
247,07/20/21 12:09:20 PM,3.7,10.56,,,,,
248,07/20/21 12:09:30 PM,1.9,10.56,,,,,
249,07/20/21 12:09:40 PM,3.7,10.56,,,,,
250,07/20/21 12:09:50 PM,3.7,10.56,,,,,
251,07/20/21 12:10:00 PM,1.8,10.56,,,,,
252,07/20/21 12:10:10 PM,1.9,10.56,,,,,
253,07/20/21 12:10:20 PM,1.8,10.56,,,,,
254,07/20/21 12:10:30 PM,1.8,10.56,,,,,
255,07/20/21 12:10:40 PM,1.9,10.59,,,,,
256,07/20/21 12:10:50 PM,1.8,10.59,,,,,
257,07/20/21 12:11:00 PM,1.9,10.59,,,,,
258,07/20/21 12:11:10 PM,1.8,10.57,,,,,
259,07/20/21 12:11:20 PM,1.8,10.57,,,,,
260,07/20/21 12:11:30 PM,1.8,10.57,,,,,
261,07/20/21 12:11:40 PM,1.9,10.56,,,,,
262,07/20/21 12:11:50 PM,1.8,10.56,,,,,
263,07/20/21 12:12:00 PM,1.8,10.56,,,,,
264,07/20/21 12:12:10 PM,3.7,10.56,,,,,
265,07/20/21 12:12:20 PM,1.8,10.57,,,,,
266,07/20/21 12:12:30 PM,1.8,10.57,,,,,
267,07/20/21 12:12:40 PM,1.8,10.57,,,,,
268,07/20/21 12:12:50 PM,1.8,10.58,,,,,
269,07/20/21 12:13:00 PM,1.9,10.58,,,,,
270,07/20/21 12:13:10 PM,1.9,10.61,,,,,
271,07/20/21 12:13:20 PM,1.8,10.62,,,,,
272,07/20/21 12:13:30 PM,1.8,10.63,,,,,
273,07/20/21 12:13:40 PM,1.8,10.65,,,,,
274,07/20/21 12:13:50 PM,1.8,10.65,,,,,
275,07/20/21 12:14:00 PM,3.4,10.67,,,,,
276,07/20/21 12:14:10 PM,1.8,10.67,,,,,
277,07/20/21 12:14:20 PM,1.9,10.64,,,,,
278,07/20/21 12:14:30 PM,3.4,10.65,,,,,
279,07/20/21 12:14:40 PM,1.8,10.67,,,,,
280,07/20/21 12:14:50 PM,1.8,10.67,,,,,
281,07/20/21 12:15:00 PM,3.7,10.68,,,,,
282,07/20/21 12:15:10 PM,1.8,10.68,,,,,
283,07/20/21 12:15:20 PM,1.8,10.69,,,,,
284,07/20/21 12:15:30 PM,3.4,10.69,,,,,
285,07/20/21 12:15:40 PM,1.8,10.69,,,,,
286,07/20/21 12:15:50 PM,1.8,10.69,,,,,
287,07/20/21 12:16:00 PM,1.8,10.70,,,,,
288,07/20/21 12:16:10 PM,3.4,10.69,,,,,
289,07/20/21 12:16:20 PM,1.9,10.68,,,,,
290,07/20/21 12:16:30 PM,3.7,10.69,,,,,
291,07/20/21 12:16:40 PM,1.8,10.68,,,,,
292,07/20/21 12:16:50 PM,3.7,10.68,,,,,
293,07/20/21 12:17:00 PM,1.8,10.69,,,,,
294,07/20/21 12:17:10 PM,1.9,10.68,,,,,
295,07/20/21 12:17:20 PM,1.9,10.68,,,,,
296,07/20/21 12:17:30 PM,1.8,10.68,,,,,
297,07/20/21 12:17:40 PM,3.7,10.67,,,,,
298,07/20/21 12:17:50 PM,3.7,10.67,,,,,
299,07/20/21 12:18:00 PM,1.9,10.63,,,,,
300,07/20/21 12:18:10 PM,1.8,10.64,,,,,
301,07/20/21 12:18:20 PM,3.4,10.64,,,,,
302,07/20/21 12:18:30 PM,1.8,10.63,,,,,
303,07/20/21 12:18:40 PM,1.8,10.63,,,,,
304,07/20/21 12:18:50 PM,1.8,10.63,,,,,
305,07/20/21 12:19:00 PM,1.9,10.63,,,,,
306,07/20/21 12:19:10 PM,3.4,10.62,,,,,
307,07/20/21 12:19:20 PM,1.8,10.61,,,,,
308,07/20/21 12:19:30 PM,1.8,10.62,,,,,
309,07/20/21 12:19:40 PM,1.8,10.62,,,,,
310,07/20/21 12:19:50 PM,1.9,10.61,,,,,
311,07/20/21 12:20:00 PM,1.9,10.62,,,,,
312,07/20/21 12:20:10 PM,3.7,10.61,,,,,
313,07/20/21 12:20:20 PM,1.8,10.61,,,,,
314,07/20/21 12:20:30 PM,1.9,10.59,,,,,
315,07/20/21 12:20:40 PM,1.8,10.61,,,,,
316,07/20/21 12:20:50 PM,1.8,10.61,,,,,
317,07/20/21 12:21:00 PM,1.8,10.61,,,,,
318,07/20/21 12:21:10 PM,3.7,10.61,,,,,
319,07/20/21 12:21:20 PM,1.9,10.61,,,,,
320,07/20/21 12:21:30 PM,1.9,10.61,,,,,
321,07/20/21 12:21:40 PM,1.8,10.58,,,,,
322,07/20/21 12:21:50 PM,1.8,10.58,,,,,
323,07/20/21 12:22:00 PM,1.2,10.56,,,,,
324,07/20/21 12:22:10 PM,3.7,10.56,,,,,
325,07/20/21 12:22:20 PM,1.8,10.56,,,,,
326,07/20/21 12:22:30 PM,1.8,10.56,,,,,
327,07/20/21 12:22:40 PM,1.8,10.55,,,,,
328,07/20/21 12:22:50 PM,1.8,10.52,,,,,
329,07/20/21 12:23:00 PM,1.9,10.52,,,,,
330,07/20/21 12:23:10 PM,1.9,10.52,,,,,
331,07/20/21 12:23:20 PM,1.9,10.51,,,,,
332,07/20/21 12:23:30 PM,3.7,10.52,,,,,
333,07/20/21 12:23:40 PM,1.9,10.51,,,,,
334,07/20/21 12:23:50 PM,3.7,10.50,,,,,
335,07/20/21 12:24:00 PM,1.8,10.47,,,,,
336,07/20/21 12:24:10 PM,1.9,10.46,,,,,
337,07/20/21 12:24:20 PM,1.9,10.45,,,,,
338,07/20/21 12:24:30 PM,1.8,10.45,,,,,
339,07/20/21 12:24:40 PM,1.8,10.44,,,,,
340,07/20/21 12:24:50 PM,1.9,10.42,,,,,
341,07/20/21 12:25:00 PM,3.7,10.42,,,,,
342,07/20/21 12:25:10 PM,1.8,10.41,,,,,
343,07/20/21 12:25:20 PM,1.9,10.40,,,,,
344,07/20/21 12:25:30 PM,1.8,10.38,,,,,
345,07/20/21 12:25:40 PM,1.8,10.38,,,,,
346,07/20/21 12:25:50 PM,1.2,10.38,,,,,
347,07/20/21 12:26:00 PM,1.8,10.38,,,,,
348,07/20/21 12:26:10 PM,1.9,10.38,,,,,
349,07/20/21 12:26:20 PM,1.8,10.38,,,,,
350,07/20/21 12:26:30 PM,1.9,10.38,,,,,
351,07/20/21 12:26:40 PM,1.8,10.38,,,,,
